gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC2_ge,0.292,0.303,0.297,17.319,61.496,62.849
ndhD_ge,0.071,0.0613,0.0648,8.76,18.199,23.646
psbD_ge,1e-05,0.000681,2.53e-06,4.633,13.385,13.758
atpA_ge,0.089,0.0961,0.092,4.804,22.862,17.73
atpH_ge,0.022,0.0213,0.0245,0.775,2.745,4.479
rps15_ge,0.079,0.0788,0.0814,1.273,2.921,2.657
rpl22_ge,0.011,0.0136,0.00814,3.786,6.301,6.382
ycf1_ge,0.135,0.128,0.123,52.756,201.455,183.058
rps8_ge,0.008,0.00834,0.00747,1.766,5.274,5.742
rpl36_ge,3e-06,7.47e-05,1.64e-05,0.716,2.449,2.315
ccsA_ge,0.099,0.101,0.0973,4.196,9.865,9.006
psaC_ge,0.001,0.000372,0.000217,1.261,2.755,2.651
rpoB_ge,0.076,0.0606,0.0659,11.432,37.281,34.321
ndhA_ge,0.088,0.0849,0.0963,15.73,32.674,30.605
rps11_ge,0.037,0.0333,0.0354,2.65,5.987,5.354
psbF_ge,2e-05,0.000172,0.000163,0.816,0.71,0.906
psbH_ge,0.076,0.067,0.0672,1.011,2.536,3.637
rpl14_ge,0.013,0.0106,0.0169,1.465,4.826,4.734
rpl33_ge,0.002,0.00285,0.00233,1.621,3.692,3.34
ndhG_ge,0.038,0.0367,0.0562,1.901,4.991,6.276
psaJ_ge,4e-05,0.0105,0.0136,0.84,1.117,0.91
cemA_ge,0,0.147,0.14,0.006,7.967,8.696
petB_ge,0.085,0.0812,0.077,7.292,18.525,19.509
accD_ge,0.125,0.112,0.129,16.386,28.315,24.302
rps12_ge,0.005,0.00736,0.00761,3.789,8.855,8.63
rpl32_ge,0.101,0.0875,0.0836,1.552,4.198,4.379
atpF_ge,0.006,0.00455,0.00647,6.708,25.849,18.853
clpP_ge,0.154,0.159,0.146,18.511,50.539,63.085
atpB_ge,0.037,0.0384,0.0348,7.202,27.857,26.529
rpoA_ge,0.028,0.0357,0.0334,5.972,19.005,23.129
petG_ge,3e-71,0.000114,5.56e-08,0.713,2.728,2.595
rpoC1_ge,0.035,0.0325,0.0323,17.507,52.535,52.456
petL_ge,0.001,0.00177,0.002,0.501,4.372,4.356
psbC_ge,0.013,0.0161,0.0147,6.559,19.32,25.528
psbE_ge,0.0001,0.000579,0.000697,1.588,4.63,6.199
psbT_ge,0.001,0.00105,0.0016,0.734,4.202,2.418
psbL_ge,0.001,0.00114,0.000913,0.584,1.491,3.111
ndhC_ge,0.026,0.0308,0.0262,2.123,10.631,8.239
rbcL_ge,0.002,0.002,0.00154,7.107,25.757,12.635
psbN_ge,0.001,0.00253,0.00187,0.77,2.657,3.062
ndhJ_ge,0.002,0.00113,0.00175,2.593,6.585,4.432
psbI_ge,8e-06,0.000229,0.000596,0.452,1.456,1.599
rps14_ge,0.034,0.0449,0.0404,1.53,4.9,4.119
ndhI_ge,0.036,0.0272,0.0239,2.313,6.178,5.258
psbZ_ge,0.004,0.0043,0.00375,0.957,1.518,1.223
petD_ge,0.327,0.327,0.316,9.372,20.129,19.643
psaI_ge,0.003,0.00209,0.00163,0.45,1.529,1.648
psbM_ge,0.0004,0.000139,0.000177,0.802,2.698,2.723
petN_ge,2e-06,1.49e-05,0.000402,0.645,1.346,1.325
ycf3_ge,0.031,0.0274,0.0199,15.39,38.958,40.351
psaA_ge,0.15,0.156,0.15,8.212,19.793,15.717
rps16_ge,0.072,0.0707,0.0738,9.558,41.145,32.289
ndhH_ge,0.084,0.0769,0.0692,4.524,10.119,12.641
atpE_ge,0.106,0.114,0.113,2.008,5.152,5.311
rps3_ge,0.205,0.222,0.213,3.157,7.87,10.517
petA_ge,0.026,0.0252,0.0278,5.153,10.11,8.853
rpl23_ge,0.01,0.00805,0.00759,1.083,6.589,7.151
atpI_ge,0.056,0.0577,0.06,3.117,8.236,8.733
ndhE_ge,0.012,0.0102,0.0106,1.312,5.402,4.063
rpl20_ge,0.01,0.0156,0.0117,1.783,5.34,5.008
psbB_ge,0.171,0.202,0.187,6.136,17.634,18.417
rps18_ge,0.05,0.0494,0.0576,3.005,12.68,9.393
rps4_ge,0.024,0.0208,0.0214,4.005,12.293,9.818
matK_ge,0.019,0.024,0.0202,6.59,23.195,20.283
ndhB_ge,0.021,0.0139,0.0195,7.909,28.972,24.714
psbJ_ge,2e-09,9.67e-06,0.000362,0.619,2.782,3.015
rpl2_ge,0.067,0.0712,0.0729,7.283,22.434,19.649
psbK_ge,0.179,0.196,0.192,0.744,2.116,1.953
rpl16_ge,0.063,0.0559,0.0618,16.478,28.293,21.245
rps19_ge,0.012,0.00923,0.009,1.575,8.256,9.072
psaB_ge,0.099,0.104,0.103,8.434,20.777,19.948
ndhK_ge,0.248,0.247,0.264,3.163,6.607,10.494
ycf2_ge,0.015,0.016,0.0157,48.277,449.997,332.185
psbA_ge,0.051,0.0461,0.0556,5.501,9.935,8.996
rps2_ge,0.047,0.0502,0.0486,3.258,9.771,10.539
rps7_ge,0.014,0.0106,0.0124,2.278,6.981,6.63
ndhF_ge,0.097,0.0949,0.0977,9.749,25.307,18.461
ycf4_ge,0.022,0.0215,0.0192,1.983,6.349,6.535
