gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC2_ge,0.307,0.29,0.296,15.809,61.033,52.491
ndhD_ge,0.067,0.0667,0.0649,5.971,14.867,12.568
psbD_ge,9e-48,1.8e-14,3.54e-49,2.695,7.678,8.318
atpA_ge,0.08,0.0937,0.0876,3.806,15.645,20.19
atpH_ge,0.009,0.013,0.00856,1.476,3.37,3.32
rps15_ge,0.058,0.0551,0.0593,1.345,3.553,3.369
rpl22_ge,0.014,0.0111,0.0122,2.835,7.185,6.672
ycf1_ge,0.131,0.128,0.124,71.292,175.753,136.791
rps8_ge,0.008,0.00815,0.0083,2.464,4.702,5.024
rpl36_ge,1e-06,1.36e-10,5.44e-05,0.739,1.342,1.47
ccsA_ge,0.093,0.102,0.105,2.862,7.558,9.536
psaC_ge,0.002,0.000762,0.00184,1.088,3.273,3.004
rpoB_ge,0.062,0.0687,0.0717,12.565,43.033,39.432
ndhA_ge,0.095,0.0942,0.0876,16.496,42.95,32.507
rps11_ge,0.042,0.0552,0.0527,1.441,4.031,4.041
psbF_ge,0.0001,2.31e-07,3.24e-23,0.604,0.796,0.847
psbH_ge,0.081,0.0913,0.0865,1.011,3.255,3.102
rpl14_ge,0.018,0.014,0.0121,1.799,5.261,6.711
rpl33_ge,0.003,0.00133,0.00116,1.596,4.734,4.2
ndhG_ge,0.042,0.0438,0.0435,1.892,6.709,7.414
psaJ_ge,0.038,0.0302,0.0365,0.869,1.84,1.616
cemA_ge,0,0.135,0.148,0.007,9.878,9.391
petB_ge,0.08,0.0732,0.0818,9.856,20.081,17.322
accD_ge,0.132,0.133,0.134,18.157,27.813,29.889
rps12_ge,0.041,0.0364,0.0392,3.964,11.424,8.651
rpl32_ge,0.012,0.00629,0.00822,1.493,5.228,6.32
atpF_ge,0.007,0.00432,0.00604,11.593,29.395,27.452
clpP_ge,0.038,0.0361,0.0304,17.88,48.304,39.582
atpB_ge,0.039,0.0453,0.0344,5.567,17.36,19.874
rpoA_ge,0.026,0.0315,0.0257,4.619,14.578,12.732
petG_ge,5e-12,8.37e-07,6.06e-05,0.586,2.037,1.656
rpoC1_ge,0.033,0.0318,0.036,12.73,37.365,40.574
petL_ge,0.002,0.00132,0.00132,0.666,2.273,1.752
psbC_ge,0.013,0.0157,0.0157,4.765,10.837,8.126
psbE_ge,0.009,0.0118,0.00794,1.145,2.986,3.06
psbT_ge,8e-05,0.000312,0.000171,0.726,2.926,2.977
psbL_ge,6e-05,0.00026,0.000121,0.743,1.683,2.039
ndhC_ge,0.019,0.0214,0.0185,1.942,4.116,4.055
rbcL_ge,0.185,0.192,0.189,5.091,10.375,8.515
psbN_ge,0.005,0.00803,0.00971,0.489,1.222,1.335
ndhJ_ge,0.003,0.00204,0.00269,1.406,3.72,8.313
psbI_ge,0.0002,9.39e-05,0.000464,0.731,1.833,1.881
rps14_ge,0.029,0.036,0.0338,1.267,3.662,4.255
ndhI_ge,0.028,0.0285,0.0373,2.273,6.901,7.979
psbZ_ge,0.008,0.00953,0.00681,0.895,3.127,1.875
petD_ge,0.339,0.33,0.323,9.477,21.357,18.192
psaI_ge,0.0004,0.00047,0.000246,0.45,1.765,2.057
psbM_ge,0.0004,6.15e-05,0.000262,0.578,1.866,2.217
petN_ge,0.0002,0.000252,1.49e-06,0.456,1.127,1.052
ycf3_ge,0.024,0.0225,0.0234,13.153,36.109,44.18
psaA_ge,0.147,0.157,0.151,9.119,22.267,19.161
rps16_ge,0.076,0.0671,0.0653,10.555,33.132,33.486
ndhH_ge,0.083,0.0835,0.0722,3.541,9.933,14.35
atpE_ge,0.107,0.112,0.108,1.901,4.46,4.633
rps3_ge,0.276,0.282,0.281,3.776,7.645,10.101
petA_ge,0.029,0.0327,0.0276,4.405,11.511,10.159
rpl23_ge,0.017,0.0166,0.0161,1.701,6.962,8.849
atpI_ge,0.055,0.0598,0.0513,2.344,8.684,8.906
ndhE_ge,0.019,0.0154,0.0153,0.919,2.337,3.427
rpl20_ge,0.038,0.043,0.0474,2.937,5.867,5.662
psbB_ge,0.245,0.245,0.239,5.5,13.2,12.578
rps18_ge,0.03,0.0246,0.0269,4.566,10.555,9.009
rps4_ge,0.032,0.0311,0.036,2.681,7.356,7.413
matK_ge,0.023,0.0202,0.018,5.858,16.73,15.973
ndhB_ge,0.016,0.0184,0.017,9.828,21.765,22.02
psbJ_ge,2e-08,8.43e-06,0.000263,0.762,1.839,2.099
rpl2_ge,0.076,0.0778,0.0788,8.758,17.602,19.265
psbK_ge,0.212,0.199,0.202,0.902,2.631,2.343
rpl16_ge,0.108,0.0989,0.0998,13.576,24.913,21.216
rps19_ge,0.013,0.0135,0.0109,1.299,5.132,5.408
psaB_ge,0.179,0.169,0.163,8.67,20.954,18.393
ndhK_ge,0.261,0.268,0.264,4.367,8.035,8.298
ycf2_ge,0.014,0.0121,0.0175,34.156,318.04,329.761
psbA_ge,0.029,0.0356,0.0321,2.302,5.191,6.213
rps2_ge,0.02,0.033,0.0293,1.899,5.517,6.223
rps7_ge,0.01,0.0118,0.0145,1.363,3.566,3.471
ndhF_ge,0.089,0.0968,0.101,5.8,13.398,11.756
ycf4_ge,0.032,0.032,0.0365,1.219,3.571,3.153
