gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0
rpoC1_cd,0.125s,0.111s,0.114s
rpl36_cd,2e-06*s,0.000776*s,0.00016*s
rpl16_cd,0.037*s,0.0314*s,0.0353*s
rpoC2_cd,0*s,0.263s,0.264s
psbC_cd,0.014*s,0.0135*s,0.013*s
ndhB_cd,0*s,0.0873s,0.0957s
ndhK_cd,0.281s,0.29s,0.295s
psbH_cd,0.09s,0.105s,0.0895s
psbN_cd,0.004*s,0.0021*s,0.00304*s
atpB_cd,0.048*s,0.0475*s,0.0508s
ycf4_cd,0.028*s,0.0262*s,0.0285*s
rps4_cd,0.017*s,0.0194*s,0.0199*s
ycf2_cd,0*s,0.0758s,0.0741s
ndhG_cd,0.04*s,0.0413*s,0.0473*s
rps2_cd,0*s,0.0633s,0.0574s
petG_cd,4e-09*s,5.08e-10*s,2.81e-09*s
ndhF_cd,0.031*s,0.0298*s,0.0366*s
psbL_cd,0.001*s,0.000655*s,0.00094*s
psbI_cd,0.001*s,0.00016*s,0.000172*s
atpF_cd,0.05*s,0.0464*s,0.0444*s
atpH_cd,0.018*s,0.0171*s,0.0167*s
petD_cd,0.025*s,0.0198*s,0.0214*s
petN_cd,0.0002*s,0.000446*s,0.000208*s
psbZ_cd,0.001*s,0.00138*s,0.00149*s
psbF_cd,5e-05*s,2.41e-10*s,5.13e-07*s
accD_cd,0.003*s,0.00554*s,0.00444*s
psbB_cd,0.204s,0.199s,0.221s
rpl2_cd,0.173s,0.19s,0.188s
rpl33_cd,0.009*s,0.00743*s,0.00786*s
atpA_cd,0.1s,0.0934s,0.0905s
rpoB_cd,0.058s,0.0651s,0.0533s
rpl32_cd,0.002*s,0.00276*s,0.003*s
ndhA_cd,0.05*s,0.0526s,0.0519s
atpI_cd,0.088s,0.0716s,0.0833s
psaB_cd,0.072s,0.0881s,0.0725s
psbD_cd,5e-05*s,2.39e-74*s,2.7e-06*s
rps14_cd,0.045*s,0.0407*s,0.0456*s
psbK_cd,0.198s,0.196s,0.195s
rps11_cd,0.026*s,0.0248*s,0.0261*s
rps19_cd,0.032*s,0.0265*s,0.0302*s
ccsA_cd,0.129s,0.128s,0.118s
psaA_cd,0.232s,0.235s,0.226s
cemA_cd,0.179s,0.162s,0.167s
rpl14_cd,0.024*s,0.0238*s,0.0275*s
rpl23_cd,0.006*s,0.00941*s,0.0106*s
clpP_cd,0.004*s,0.00353*s,0.00204*s
ndhI_cd,0.021*s,0.0224*s,0.0246*s
rbcL_cd,0.003*s,0.00384*s,0.00459*s
ndhE_cd,0.01*s,0.00817*s,0.0106*s
petB_cd,0.094s,0.108s,0.0972s
ndhC_cd,0.042*s,0.038*s,0.0461*s
rps16_cd,0.044*s,0.0437*s,0.0451*s
psbT_cd,0.0001*s,0.000107*s,0.000227*s
ndhD_cd,0*s,0.0599s,0.0517s
rps18_cd,0.067s,0.0733s,0.0718s
ycf3_cd,0*s,0.158s,0.161s
psaC_cd,0.001*s,0.000658*s,0.000811*s
petL_cd,0.002*s,0.0022*s,0.0013*s
atpE_cd,0.058s,0.0581s,0.0608s
psaI_cd,0.001*s,0.00123*s,0.00274*s
rps8_cd,0.013*s,0.0126*s,0.0151*s
psaJ_cd,0.0001*s,0.00519*s,0.0046*s
matK_cd,0.013*s,0.0155*s,0.0156*s
rps15_cd,0.086s,0.0913s,0.0872s
ndhH_cd,0*s,0.131s,0.125s
ycf1_cd,0.223s,0.218s,0.225s
psbA_cd,0.053s,0.0544s,0.0509s
rpl22_cd,0.004*s,0.0025*s,0.00159*s
rpl20_cd,0.021*s,0.0164*s,0.0203*s
rps7_cd,0.024*s,0.0236*s,0.0267*s
ndhJ_cd,0.002*s,0.00101*s,0.000377*s
rps12_cd,0.011*s,0.0113*s,0.0109*s
psbE_cd,0.001*s,0.00148*s,0.0018*s
petA_cd,0.028*s,0.0376*s,0.031*s
rps3_cd,0.234s,0.243s,0.245s
psbM_cd,0.0001*s,0.000541*s,0.000335*s
psbJ_cd,2e-06*s,7.85e-08*s,4.77e-06*s
rpoA_cd,0.01*s,0.0118*s,0.0104*s
