gene,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC1_cd,8.878,13.702,12.278
rpl36_cd,0.606,0.604,0.669
rpl16_cd,1.697,2.529,2.376
rpoC2_cd,0.058,40.344,28.832
psbC_cd,4.684,6.661,7.631
ndhB_cd,0.039,8.891,7.405
ndhK_cd,2.498,4.063,3.998
psbH_cd,0.947,1.543,1.631
psbN_cd,0.553,0.868,0.963
atpB_cd,4.542,10.019,9.044
ycf4_cd,2.165,3.972,4.463
rps4_cd,2.557,4.169,4.048
ycf2_cd,0.081,228.514,148.409
ndhG_cd,2.095,3.406,3.88
rps2_cd,0.037,6.463,5.391
petG_cd,0.628,0.898,1.117
ndhF_cd,10.821,14.848,12.087
psbL_cd,1.421,0.517,0.589
psbI_cd,0.53,0.91,0.977
atpF_cd,2.232,3.398,4.586
atpH_cd,1.016,2.078,2.116
petD_cd,2.014,3.21,3.105
petN_cd,0.556,0.463,0.48
psbZ_cd,0.919,0.81,0.99
psbF_cd,0.767,0.472,0.514
accD_cd,13.032,15.69,19.084
psbB_cd,5.329,8.925,9.226
rpl2_cd,2.898,5.516,6.297
rpl33_cd,1.203,1.643,1.584
atpA_cd,4.534,9.657,10.31
rpoB_cd,11.472,24.694,18.035
rpl32_cd,1.414,1.704,1.958
ndhA_cd,3.791,6.557,5.83
atpI_cd,2.47,4.526,5.794
psaB_cd,6.043,11.398,12.305
psbD_cd,3.194,5.228,5.361
rps14_cd,1.214,1.811,1.767
psbK_cd,0.77,1.342,1.29
rps11_cd,1.83,2.868,2.625
rps19_cd,1.813,4.137,3.846
ccsA_cd,3.633,5.985,5.197
psaA_cd,6.653,10.163,10.078
cemA_cd,2.628,4.241,4.416
rpl14_cd,1.543,2.3,2.119
rpl23_cd,1.336,3.5,3.472
clpP_cd,2.972,5.229,4.348
ndhI_cd,1.876,2.828,2.734
rbcL_cd,4.528,5.912,5.511
ndhE_cd,1.191,1.736,1.949
petB_cd,2.181,3.845,3.478
ndhC_cd,1.537,1.97,2.35
rps16_cd,1.398,2.134,2.186
psbT_cd,0.892,1.439,1.488
ndhD_cd,0.04,10.185,11.224
rps18_cd,3.766,6.753,5.794
ycf3_cd,0.035,3.569,3.726
psaC_cd,1.091,1.737,1.716
petL_cd,0.547,1.334,1.528
atpE_cd,1.762,2.997,2.615
psaI_cd,0.626,1.132,1.165
rps8_cd,1.806,2.544,3.046
psaJ_cd,1.147,1.72,1.961
matK_cd,6.043,10.273,9.272
rps15_cd,1.334,1.717,1.693
ndhH_cd,0.039,6.504,6.284
ycf1_cd,48.154,81.472,81.457
psbA_cd,3.221,5.758,6.68
rpl22_cd,2.785,3.026,3.834
rpl20_cd,2.251,3.408,3.4
rps7_cd,2.402,3.914,3.936
ndhJ_cd,1.822,2.782,3.141
rps12_cd,1.341,1.927,2.098
psbE_cd,1.107,1.567,1.77
petA_cd,3.315,6.108,5.386
rps3_cd,3.373,4.763,4.6
psbM_cd,0.684,0.935,1.066
psbJ_cd,0.675,1.386,1.603
rpoA_cd,4.837,8.409,10.875
