gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0
rpoC1_cd,0.118s,0.119s,0.105s
rpl36_cd,4e-05*s,1.07e-05*s,3.74e-05*s
rpl16_cd,0.033*s,0.0302*s,0.0341*s
rpoC2_cd,0*s,0.274s,0.25s
psbC_cd,0.013*s,0.012*s,0.0161*s
ndhB_cd,0*s,0.0421*s,0.0386*s
ndhK_cd,0.299s,0.284s,0.276s
psbH_cd,0.123s,0.148s,0.118s
psbN_cd,0.005*s,0.00667*s,0.00661*s
atpB_cd,0.045*s,0.0496*s,0.057s
ycf4_cd,0.034*s,0.0287*s,0.0304*s
rps4_cd,0.022*s,0.0211*s,0.0196*s
ycf2_cd,0*s,0.0687s,0.0711s
ndhG_cd,0.042*s,0.0404*s,0.0394*s
rps2_cd,0*s,0.054s,0.056s
petG_cd,2e-11*s,2.09e-13*s,1.83e-06*s
ndhF_cd,0.035*s,0.0318*s,0.028*s
psbL_cd,0.0002*s,9.11e-05*s,0.000198*s
psbI_cd,0.001*s,0.00138*s,0.000174*s
atpF_cd,0.042*s,0.0424*s,0.0433*s
atpH_cd,0.006*s,0.00518*s,0.0044*s
petD_cd,0.029*s,0.0251*s,0.0249*s
petN_cd,0.001*s,0.00109*s,0.00138*s
psbZ_cd,0.008*s,0.0094*s,0.00994*s
psbF_cd,3e-112*s,1.96e-57*s,0.000188*s
accD_cd,0.004*s,0.00421*s,0.00392*s
psbB_cd,0.222s,0.213s,0.225s
rpl2_cd,0.18s,0.173s,0.182s
rpl33_cd,0.003*s,0.00323*s,0.00223*s
atpA_cd,0.081s,0.0826s,0.0757s
rpoB_cd,0.056s,0.0599s,0.0596s
rpl32_cd,1e-05*s,0.000429*s,4.65e-05*s
ndhA_cd,0.047*s,0.046*s,0.0475*s
atpI_cd,0.077s,0.0778s,0.0763s
psaB_cd,0.143s,0.144s,0.144s
psbD_cd,3e-69*s,1.83e-46*s,0.000109*s
rps14_cd,0.095s,0.0868s,0.0777s
psbK_cd,0.154s,0.168s,0.144s
rps11_cd,0.019*s,0.0223*s,0.0225*s
rps19_cd,0.023*s,0.0186*s,0.017*s
ccsA_cd,0.12s,0.118s,0.115s
psaA_cd,0.242s,0.233s,0.246s
cemA_cd,0.171s,0.158s,0.176s
rpl14_cd,0.023*s,0.0201*s,0.0191*s
rpl23_cd,0.013*s,0.0152*s,0.017*s
clpP_cd,0.004*s,0.00325*s,0.00154*s
ndhI_cd,0.021*s,0.0221*s,0.024*s
rbcL_cd,0.012*s,0.00886*s,0.0108*s
ndhE_cd,0.021*s,0.0243*s,0.0218*s
petB_cd,0.077s,0.0714s,0.0764s
ndhC_cd,0.021*s,0.0207*s,0.0228*s
rps16_cd,0.035*s,0.0365*s,0.0426*s
psbT_cd,0.001*s,0.0011*s,0.000367*s
ndhD_cd,0*s,0.0545s,0.0537s
rps18_cd,0.088s,0.103s,0.0861s
ycf3_cd,0*s,0.172s,0.171s
psaC_cd,0.003*s,0.00292*s,0.00105*s
petL_cd,0.002*s,0.00192*s,0.000942*s
atpE_cd,0.057s,0.0659s,0.0682s
psaI_cd,0.002*s,0.00253*s,0.00315*s
rps8_cd,0.011*s,0.00881*s,0.0109*s
psaJ_cd,2e-05*s,0.00286*s,0.00252*s
matK_cd,0.012*s,0.0123*s,0.0155*s
rps15_cd,0.146s,0.14s,0.134s
ndhH_cd,0*s,0.101s,0.0979s
ycf1_cd,0.224s,0.222s,0.215s
psbA_cd,0.029*s,0.0333*s,0.0312*s
rpl22_cd,0.002*s,0.00253*s,0.00496*s
rpl20_cd,0.015*s,0.0152*s,0.0151*s
rps7_cd,0.013*s,0.0131*s,0.0156*s
ndhJ_cd,0.001*s,0.00193*s,0.00284*s
rps12_cd,0.007*s,0.0101*s,0.0127*s
psbE_cd,0.001*s,0.0011*s,0.00148*s
petA_cd,0.031*s,0.032*s,0.0387*s
rps3_cd,0.19s,0.221s,0.189s
psbM_cd,0.0002*s,0.000457*s,0.000327*s
psbJ_cd,1e-07*s,1.56e-10*s,4.09e-61*s
rpoA_cd,0.009*s,0.0145*s,0.0142*s
