gene,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC1_cd,7.422,14.056,12.725
rpl36_cd,0.629,0.942,1.082
rpl16_cd,1.795,2.582,2.489
rpoC2_cd,0.058,31.786,27.487
psbC_cd,4.551,6.857,6.169
ndhB_cd,0.022,9.168,10.391
ndhK_cd,2.783,4.225,5.085
psbH_cd,1.064,1.639,1.597
psbN_cd,0.703,0.933,1.082
atpB_cd,5.106,10.444,11.934
ycf4_cd,2.287,4.02,3.551
rps4_cd,2.586,4.369,3.921
ycf2_cd,0.09,207.497,189.111
ndhG_cd,2.075,3.282,3.645
rps2_cd,0.021,6.063,5.231
petG_cd,0.779,0.636,0.684
ndhF_cd,8.608,12.88,12.837
psbL_cd,1.603,1.087,1.368
psbI_cd,0.619,1.063,1.251
atpF_cd,2.193,3.512,3.679
atpH_cd,1.042,1.628,1.676
petD_cd,1.802,2.984,2.806
petN_cd,0.598,0.457,0.499
psbZ_cd,0.996,1.37,1.257
psbF_cd,0.72,0.44,0.463
accD_cd,13.758,13.856,13.608
psbB_cd,4.964,7.932,7.818
rpl2_cd,3.097,5.916,6.603
rpl33_cd,1.163,1.754,2.024
atpA_cd,5.267,10.148,9.593
rpoB_cd,11.486,26.918,25.974
rpl32_cd,1.418,1.873,1.97
ndhA_cd,3.982,7.013,7.704
atpI_cd,2.554,4.797,5.622
psaB_cd,6.664,10.936,14.018
psbD_cd,3.213,5.155,5.834
rps14_cd,1.271,1.801,1.742
psbK_cd,0.813,1.32,1.567
rps11_cd,1.905,2.773,3.429
rps19_cd,1.921,4.063,3.764
ccsA_cd,4.038,5.816,6.418
psaA_cd,6.834,9.967,13.059
cemA_cd,2.612,4.381,4.397
rpl14_cd,1.577,2.17,2.105
rpl23_cd,1.561,3.338,3.215
clpP_cd,3.265,4.992,5.738
ndhI_cd,1.863,2.934,3.348
rbcL_cd,4.165,6.325,7.041
ndhE_cd,1.181,1.626,1.568
petB_cd,2.313,3.958,4.415
ndhC_cd,1.414,2.137,2.602
rps16_cd,1.446,1.908,1.933
psbT_cd,0.686,1.22,1.433
ndhD_cd,0.042,9.507,10.634
rps18_cd,3.343,6.751,6.909
ycf3_cd,0.019,3.414,3.164
psaC_cd,1.027,1.501,1.528
petL_cd,0.555,1.286,1.551
atpE_cd,1.674,2.775,2.437
psaI_cd,0.642,1.027,1.159
rps8_cd,1.7,2.355,2.189
psaJ_cd,1.013,1.675,1.984
matK_cd,5.816,9.52,11.32
rps15_cd,1.308,1.601,1.575
ndhH_cd,0.021,6.19,6.99
ycf1_cd,40.504,77.019,96.764
psbA_cd,3.076,5.292,6.133
rpl22_cd,2.651,2.848,2.952
rpl20_cd,2.105,3.177,3.835
rps7_cd,2.113,3.826,4.001
ndhJ_cd,1.694,2.732,3.184
rps12_cd,1.359,1.761,1.909
psbE_cd,1.07,1.485,1.492
petA_cd,3.126,5.76,6.524
rps3_cd,3.26,4.426,4.506
psbM_cd,0.659,0.959,1.159
psbJ_cd,0.635,0.922,1.078
rpoA_cd,4.49,7.868,7.672
