gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0
ndhD_ex,0.06s,0.0574s,0.0559s
clpP_ex,0.001*s,0.000558*s,0.000528*s
rps19_ex,0.016*s,0.0169*s,0.0169*s
rbcL_ex,0.005*s,0.00363*s,0.00247*s
rpl2_ex,0.146s,0.153s,0.148s
rps4_ex,0.023*s,0.0305*s,0.0227*s
accD_ex,0.096s,0.0954s,0.104s
atpH_ex,0.013*s,0.0178*s,0.0178*s
ndhA_ex,0.027*s,0.0279*s,0.0302*s
rps14_ex,0.057s,0.0544s,0.0628s
psbE_ex,0.0004*s,0.000906*s,0.00119*s
rpoC1_ex,0.17s,0.173s,0.183s
psbN_ex,0.005*s,0.00533*s,0.00519*s
petN_ex,0.001*s,0.00085*s,0.00269*s
psbK_ex,0.188s,0.193s,0.188s
psaJ_ex,7e-08*s,0.00153*s,0.0018*s
psbT_ex,0.0001*s,0.000483*s,0.00024*s
rpl14_ex,0.022*s,0.0199*s,0.0181*s
ndhF_ex,0.019*s,0.0207*s,0.0193*s
rps18_ex,0.067s,0.0834s,0.0867s
atpE_ex,0.09s,0.0887s,0.0818s
petA_ex,0.039*s,0.0341*s,0.0347*s
rpl36_ex,0.0002*s,0.000456*s,0.001*s
rps11_ex,0.027*s,0.0325*s,0.0302*s
psbZ_ex,0.001*s,0.000928*s,0.000982*s
rps15_ex,0.075s,0.0821s,0.0819s
rpl20_ex,0.013*s,0.0105*s,0.00841*s
rps8_ex,0.017*s,0.0177*s,0.0163*s
rpl32_ex,0*s,0.00266*s,0.00281*s
petG_ex,2e-05*s,2.2e-08*s,7.26e-09*s
rps3_ex,0.239s,0.235s,0.229s
petL_ex,0.0004*s,0.00163*s,0.00144*s
psaI_ex,0.001*s,0.000443*s,0.000615*s
psbJ_ex,1e-06*s,3.8e-05*s,3.75e-06*s
psaC_ex,0.003*s,0.00138*s,0.00144*s
rps7_ex,0.02*s,0.0212*s,0.0189*s
ndhC_ex,0.016*s,0.0145*s,0.0133*s
psbI_ex,0.0003*s,0.000145*s,0.000103*s
psbF_ex,3e-13*s,1.19e-79*s,5.14e-06*s
rpoB_ex,0.161s,0.169s,0.177s
rps12_ex,0.009*s,0.0143*s,0.0139*s
psbC_ex,0.014*s,0.0149*s,0.0125*s
rpoA_ex,0.03*s,0.0277*s,0.0262*s
rps2_ex,0.059s,0.0741s,0.0673s
ndhJ_ex,0.001*s,0.00122*s,0.000756*s
rpl22_ex,0.019*s,0.0163*s,0.0186*s
ndhK_ex,0.333s,0.314s,0.333s
psbL_ex,0.002*s,0.00278*s,0.00341*s
psaA_ex,0.252s,0.243s,0.262s
atpB_ex,0.069s,0.0618s,0.059s
rpl16_ex,0.034*s,0.0299*s,0.032*s
ndhE_ex,0.008*s,0.0102*s,0.00945*s
petD_ex,0.024*s,0.0268*s,0.0241*s
petB_ex,0.056s,0.0603s,0.0619s
ndhG_ex,0.036*s,0.0418*s,0.0362*s
ndhB_ex,0.088s,0.0919s,0.0929s
psbH_ex,0.053s,0.0448*s,0.0454*s
psbM_ex,2e-08*s,4.48e-05*s,2.27e-05*s
matK_ex,0.009*s,0.0104*s,0.00743*s
ccsA_ex,0.082s,0.0902s,0.0958s
psbB_ex,0.231s,0.226s,0.215s
rpl23_ex,0.015*s,0.0169*s,0.0175*s
ndhH_ex,0.109s,0.116s,0.106s
psbD_ex,6e-75*s,3.2e-116*s,4.34e-23*s
ycf1_auto_ex,0.109s,0.118s,0.109s
ndhI_ex,0.068s,0.0658s,0.0592s
rps16_ex,0.069s,0.0716s,0.0597s
ycf4_ex,0.01*s,0.0104*s,0.00949*s
atpI_ex,0.095s,0.097s,0.107s
rpoC2_ex,0.218s,0.234s,0.231s
atpF_ex,0.023*s,0.0317*s,0.0317*s
ycf3_ex,0.157s,0.141s,0.165s
atpA_ex,0.081s,0.0848s,0.0744s
psaB_ex,0.132s,0.122s,0.131s
ycf2_auto_ex,0.024*s,0.0232*s,0.0242*s
psbA_ex,0.114s,0.129s,0.125s
cemA_ex,0*s,0.17s,0.175s
rpl33_ex,0.001*s,0.000704*s,0.00172*s
