gene,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhD_ex,5.354,9.192,9.001
clpP_ex,2.891,4.65,4.834
rps19_ex,1.875,3.86,4.564
rbcL_ex,4.895,5.984,7.021
rpl2_ex,2.823,5.083,5.413
rps4_ex,2.426,4.21,4.596
accD_ex,13.395,19.078,13.883
atpH_ex,0.937,1.607,1.615
ndhA_ex,3.891,6.637,7.031
rps14_ex,1.217,1.872,2.133
psbE_ex,1.07,1.411,1.483
rpoC1_ex,7.084,13.075,16.712
psbN_ex,0.661,0.951,1.044
petN_ex,0.528,0.411,0.484
psbK_ex,0.826,1.32,1.479
psaJ_ex,0.885,2.702,2.844
psbT_ex,0.746,1.39,1.542
rpl14_ex,1.558,2.223,2.253
ndhF_ex,8.254,13.295,12.961
rps18_ex,3.138,7.341,6.472
atpE_ex,1.667,2.631,2.302
petA_ex,3.055,5.654,5.608
rpl36_ex,0.581,0.907,0.955
rps11_ex,1.798,2.934,2.855
psbZ_ex,0.959,0.902,0.928
rps15_ex,1.247,1.584,1.445
rpl20_ex,1.932,2.55,2.795
rps8_ex,1.621,2.428,2.966
rpl32_ex,0.035,2.486,2.435
petG_ex,0.563,0.918,1.102
rps3_ex,3.093,4.978,4.747
petL_ex,0.517,1.232,1.426
psaI_ex,0.585,1.061,1.247
psbJ_ex,0.625,1.196,1.426
psaC_ex,1.014,1.666,1.669
rps7_ex,2.198,2.883,3.512
ndhC_ex,1.356,2.102,2.018
psbI_ex,0.569,0.97,0.974
psbF_ex,0.66,0.542,0.579
rpoB_ex,11.485,19.009,18.146
rps12_ex,1.259,1.797,2.117
psbC_ex,3.943,6.872,5.438
rpoA_ex,4.547,8.384,7.967
rps2_ex,2.9,5.52,5.792
ndhJ_ex,1.717,2.555,2.415
rpl22_ex,2.515,3.36,3.146
ndhK_ex,2.58,4.105,4.055
psbL_ex,1.359,0.441,0.483
psaA_ex,6.139,10.415,12.487
atpB_ex,4.777,9.75,11.99
rpl16_ex,1.699,2.418,2.357
ndhE_ex,1.106,1.695,1.56
petD_ex,1.845,2.796,3.222
petB_ex,2.137,3.862,4.063
ndhG_ex,2.046,3.143,2.694
ndhB_ex,4.777,8.123,9.433
psbH_ex,0.982,1.535,1.526
psbM_ex,0.59,1.135,1.201
matK_ex,6.505,9.361,8.791
ccsA_ex,3.482,5.769,5.055
psbB_ex,4.634,6.992,6.915
rpl23_ex,1.338,3.135,2.996
ndhH_ex,3.581,5.886,6.53
psbD_ex,2.853,5.506,6.158
ycf1_auto_ex,37.149,103.936,91.169
ndhI_ex,1.944,2.936,3.472
rps16_ex,1.514,2.776,2.662
ycf4_ex,2.115,3.526,4.301
atpI_ex,2.414,4.666,5.613
rpoC2_ex,15.86,28.02,27.158
atpF_ex,2.056,3.427,4.086
ycf3_ex,1.696,3.234,3.097
atpA_ex,4.5,9.683,8.087
psaB_ex,5.934,11.505,13.089
ycf2_auto_ex,27.256,204.838,175.596
psbA_ex,3.304,4.813,5.154
cemA_ex,0.038,4.73,5.877
rpl33_ex,1.085,1.633,1.626
