gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0
ndhD_ex,0.057s,0.0498*s,0.0559s
clpP_ex,0.002*s,0.000653*s,0.00154*s
rps19_ex,0.027*s,0.0259*s,0.0246*s
rbcL_ex,0.226s,0.216s,0.209s
rpl2_ex,0.121s,0.126s,0.127s
rps4_ex,0.031*s,0.0311*s,0.0352*s
accD_ex,0.189s,0.198s,0.191s
atpH_ex,0.008*s,0.00612*s,0.00607*s
ndhA_ex,0.028*s,0.0279*s,0.0298*s
rps14_ex,0.045*s,0.0439*s,0.0511s
psbE_ex,0.014*s,0.014*s,0.0139*s
rpoC1_ex,0.162s,0.158s,0.164s
psbN_ex,0.006*s,0.00705*s,0.00834*s
petN_ex,9e-07*s,3.83e-05*s,1.82e-05*s
psbK_ex,0.209s,0.21s,0.231s
psaJ_ex,0.022*s,0.0232*s,0.0215*s
psbT_ex,4e-05*s,7.69e-05*s,0.000237*s
rpl14_ex,0.023*s,0.0265*s,0.023*s
ndhF_ex,0.017*s,0.0151*s,0.0141*s
rps18_ex,0.012*s,0.0112*s,0.0101*s
atpE_ex,0.091s,0.0994s,0.0807s
petA_ex,0.039*s,0.0419*s,0.0407*s
rpl36_ex,1e-12*s,6.56e-05*s,0.000152*s
rps11_ex,0.041*s,0.048*s,0.0389*s
psbZ_ex,0.007*s,0.00514*s,0.00726*s
rps15_ex,0.05*s,0.0575s,0.0569s
rpl20_ex,0.026*s,0.0353*s,0.0322*s
rps8_ex,0.018*s,0.018*s,0.0225*s
rpl32_ex,0*s,0.00619*s,0.00546*s
petG_ex,3e-06*s,0.000117*s,0.000197*s
rps3_ex,0.291s,0.283s,0.322s
petL_ex,0.002*s,0.00147*s,0.00265*s
psaI_ex,0.0003*s,0.000379*s,9.25e-05*s
psbJ_ex,5e-05*s,5.93e-07*s,4.03e-08*s
psaC_ex,0.003*s,0.00164*s,0.00214*s
rps7_ex,0.019*s,0.0253*s,0.0234*s
ndhC_ex,0.012*s,0.0119*s,0.0127*s
psbI_ex,0.0002*s,0.000276*s,0.000104*s
psbF_ex,4e-167*s,3.15e-06*s,1.76e-10*s
rpoB_ex,0.165s,0.176s,0.172s
rps12_ex,0.016*s,0.0174*s,0.0185*s
psbC_ex,0.013*s,0.014*s,0.0149*s
rpoA_ex,0.028*s,0.0246*s,0.0232*s
rps2_ex,0.035*s,0.0368*s,0.033*s
ndhJ_ex,0.001*s,0.000967*s,0.0016*s
rpl22_ex,0.013*s,0.0125*s,0.0155*s
ndhK_ex,0.355s,0.358s,0.356s
psbL_ex,0.001*s,5.71e-05*s,0.000308*s
psaA_ex,0.257s,0.252s,0.241s
atpB_ex,0.061s,0.0596s,0.0536s
rpl16_ex,0.027*s,0.0305*s,0.0294*s
ndhE_ex,0.015*s,0.0163*s,0.0161*s
petD_ex,0.031*s,0.0286*s,0.0267*s
petB_ex,0.052s,0.0535s,0.0535s
ndhG_ex,0.04*s,0.0358*s,0.0408*s
ndhB_ex,0.074s,0.0733s,0.0698s
psbH_ex,0.057s,0.0551s,0.0585s
psbM_ex,0.001*s,7.29e-05*s,7.13e-05*s
matK_ex,0.006*s,0.00616*s,0.00733*s
ccsA_ex,0.09s,0.0935s,0.0992s
psbB_ex,0.264s,0.244s,0.261s
rpl23_ex,0.019*s,0.0173*s,0.0171*s
ndhH_ex,0.122s,0.102s,0.113s
psbD_ex,1e-66*s,0.000264*s,4.59e-52*s
ycf1_auto_ex,0.113s,0.118s,0.117s
ndhI_ex,0.118s,0.111s,0.122s
rps16_ex,0.075s,0.0588s,0.068s
ycf4_ex,0.031*s,0.0312*s,0.0245*s
atpI_ex,0.094s,0.105s,0.0926s
rpoC2_ex,0.239s,0.229s,0.218s
atpF_ex,0.03*s,0.0284*s,0.0282*s
ycf3_ex,0.199s,0.205s,0.202s
atpA_ex,0.072s,0.078s,0.078s
psaB_ex,0.216s,0.216s,0.228s
ycf2_auto_ex,0.022*s,0.0225*s,0.0195*s
psbA_ex,0.064s,0.0665s,0.0668s
cemA_ex,0*s,0.181s,0.167s
rpl33_ex,0.001*s,0.000751*s,0.000673*s
