gene,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhD_ex,4.933,9.286,8.757
clpP_ex,2.886,4.695,5.087
rps19_ex,1.921,3.918,4.326
rbcL_ex,4.635,5.947,7.166
rpl2_ex,2.897,4.906,6.269
rps4_ex,2.447,4.198,4.77
accD_ex,11.254,14.172,13.293
atpH_ex,1.013,1.518,1.538
ndhA_ex,3.678,6.74,6.982
rps14_ex,1.252,1.817,2.206
psbE_ex,1.078,1.43,1.421
rpoC1_ex,7.047,13.087,11.581
psbN_ex,0.665,0.877,1.046
petN_ex,0.532,0.449,0.513
psbK_ex,0.816,1.374,1.505
psaJ_ex,0.787,0.583,0.674
psbT_ex,0.722,1.393,1.422
rpl14_ex,1.556,2.247,2.35
ndhF_ex,8.354,13.351,12.997
rps18_ex,2.672,6.708,5.731
atpE_ex,1.686,2.627,2.405
petA_ex,3.099,5.704,6.256
rpl36_ex,0.58,0.822,0.884
rps11_ex,1.906,2.806,3.155
psbZ_ex,0.901,1.137,1.158
rps15_ex,1.244,1.623,1.54
rpl20_ex,1.949,2.59,2.532
rps8_ex,1.689,2.412,2.258
rpl32_ex,0.018,2.465,2.519
petG_ex,0.616,0.914,0.964
rps3_ex,3.399,4.825,4.782
petL_ex,0.55,1.287,1.54
psaI_ex,0.665,1.052,1.192
psbJ_ex,0.688,0.902,0.981
psaC_ex,1.026,1.484,1.493
rps7_ex,2.262,2.859,2.815
ndhC_ex,1.399,2.096,2.539
psbI_ex,0.59,0.93,1.045
psbF_ex,0.676,0.517,0.55
rpoB_ex,11.315,25.255,18.29
rps12_ex,1.329,1.736,1.991
psbC_ex,4.016,6.616,7.783
rpoA_ex,4.332,8.407,7.756
rps2_ex,2.78,5.474,6.257
ndhJ_ex,1.738,2.602,3.097
rpl22_ex,2.576,3.228,4.014
ndhK_ex,2.614,4.092,5.109
psbL_ex,1.544,1.077,1.243
psaA_ex,6.049,10.547,12.39
atpB_ex,4.393,10.135,12.117
rpl16_ex,1.706,2.384,2.62
ndhE_ex,1.159,1.691,1.758
petD_ex,1.738,2.895,3.141
petB_ex,2.171,3.858,4.101
ndhG_ex,1.984,3.197,2.796
ndhB_ex,4.446,8.496,7.049
psbH_ex,1.01,1.442,1.456
psbM_ex,0.624,1.065,1.089
matK_ex,6.08,9.461,8.932
ccsA_ex,3.744,5.556,4.972
psbB_ex,4.43,7.259,6.933
rpl23_ex,1.301,3.237,3.177
ndhH_ex,4.158,5.394,6.484
psbD_ex,2.951,5.434,5.107
ycf1_auto_ex,36.533,80.057,92.279
ndhI_ex,1.966,2.929,3.034
rps16_ex,1.486,2.786,3.14
ycf4_ex,2.217,3.393,3.333
atpI_ex,2.544,4.521,4.833
rpoC2_ex,16.051,35.827,25.551
atpF_ex,2.045,3.401,3.824
ycf3_ex,1.837,2.974,3.089
atpA_ex,4.957,9.343,8.151
psaB_ex,5.997,11.452,12.777
ycf2_auto_ex,29.932,186.17,178.039
psbA_ex,3.116,5.096,6.293
cemA_ex,0.02,4.654,5.353
rpl33_ex,1.127,1.769,1.964
