gene,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ycf2_ge,31.03,170.09,234.158
rps12_ge,3.171,4.837,5.679
psbC_ge,4.365,6.214,7.212
rps19_ge,1.766,3.769,4.464
psbT_ge,0.688,1.272,1.495
psaI_ge,0.613,1.049,1.25
rps11_ge,1.936,2.729,2.906
atpA_ge,4.601,9.567,8.065
rpl36_ge,0.539,1.042,1.103
psbJ_ge,0.697,1.186,1.31
ycf3_ge,12.925,25.616,17.873
psbN_ge,0.612,0.848,0.922
cemA_ge,0.036,4.801,4.444
petG_ge,0.55,0.73,0.873
psaB_ge,6.094,11.343,13.13
rps8_ge,1.745,2.308,2.952
rps14_ge,1.207,1.75,2.139
psbE_ge,1.036,1.444,1.464
rpl16_ge,10.692,14.254,17.298
ndhK_ge,2.771,3.84,4.93
ndhI_ge,1.901,3.037,3.362
psaA_ge,6.161,10.353,12.264
atpB_ge,4.465,10.188,12.053
rbcL_ge,4.518,5.863,7.041
rpoC1_ge,13.195,21.898,27.051
accD_ge,11.524,14.326,13.024
rpoB_ge,10.824,19.223,17.909
psbM_ge,0.605,1.024,1.163
petA_ge,3.29,5.339,5.656
psbI_ge,0.55,0.956,1.063
petN_ge,0.559,0.462,0.513
psbH_ge,0.951,1.508,1.525
psaJ_ge,1.287,0.559,0.656
ndhC_ge,1.427,2.091,2.512
rpl20_ge,1.861,2.615,2.58
matK_ge,6.375,9.039,9.591
atpF_ge,7.764,12.51,12.224
rpl2_ge,5.235,11.171,13.613
atpI_ge,2.485,4.594,4.506
rpl32_ge,1.552,2.09,1.997
psbD_ge,2.977,5.348,5.172
rps4_ge,2.459,4.088,4
psbK_ge,0.828,1.352,1.481
rpl33_ge,1.147,1.558,1.624
rpoC2_ge,18.726,28.386,32.568
ndhG_ge,2.127,3.035,2.79
ndhE_ge,1.219,1.572,1.552
psaC_ge,1.033,1.509,1.517
rps16_ge,9.404,18.77,18.522
petL_ge,0.554,1.274,1.369
ndhJ_ge,1.654,2.653,2.416
ndhF_ge,9.292,12.724,11.946
psbL_ge,1.306,0.841,0.94
rpl14_ge,1.531,2.317,2.261
petD_ge,7.654,10.463,9.794
atpE_ge,1.588,2.697,2.508
ycf1_ge,43.326,84.553,101.649
ndhB_ge,6.641,13.224,12.061
ndhH_ge,3.704,5.646,6.717
psbB_ge,4.451,7.053,6.793
ndhA_ge,14.052,17.483,23.634
rps3_ge,3.464,4.629,4.747
rps15_ge,1.205,1.566,1.451
ccsA_ge,3.982,5.294,5.015
rps18_ge,3.021,5.793,6.134
rpoA_ge,4.371,8.232,7.782
atpH_ge,0.924,1.594,1.807
psbZ_ge,0.935,0.832,0.878
rps2_ge,2.839,5.405,5.759
psbA_ge,3.282,5.018,5.077
psbF_ge,0.661,0.549,0.586
rpl22_ge,2.544,3.183,4.459
rpl23_ge,1.291,3.288,3.47
clpP_ge,16.597,31.311,23.074
ycf4_ge,2.101,3.634,3.617
rps7_ge,2.337,3.389,4.359
ndhD_ge,5.301,9.061,8.897
petB_ge,6.61,10.835,13.273
