gene,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ycf2_ge,28.013,164.05,232.596
rps12_ge,3.011,5.152,4.602
psbC_ge,4.149,6.398,7.86
rps19_ge,2.417,4.81,3.912
psbT_ge,0.74,1.403,1.415
psaI_ge,0.629,1.073,1.201
rps11_ge,1.994,2.719,3.215
atpA_ge,4.684,9.568,8.082
rpl36_ge,0.588,0.857,0.899
psbJ_ge,0.658,0.929,0.981
ycf3_ge,11.263,18.993,18.04
psbN_ge,0.65,0.878,1.056
cemA_ge,0.021,4.649,5.272
petG_ge,0.576,0.894,0.97
psaB_ge,6.91,11.022,12.889
rps8_ge,1.837,2.29,2.258
rps14_ge,1.282,1.77,2.225
psbE_ge,1.091,1.441,1.42
rpl16_ge,11.371,23.855,20.571
ndhK_ge,3.035,5.61,6.109
ndhI_ge,2.4,4.216,4.012
psaA_ge,6.263,10.292,12.174
atpB_ge,4.838,9.776,12.031
rbcL_ge,4.331,6.176,6.861
rpoC1_ge,12.999,21.863,27.822
accD_ge,12.428,17.678,12.906
rpoB_ge,10.869,24.957,18.069
psbM_ge,0.617,1.018,1.106
petA_ge,3.445,5.244,6.349
psbI_ge,0.586,0.932,1.076
petN_ge,0.543,0.442,0.509
psbH_ge,1.009,1.484,1.454
psaJ_ge,0.801,0.559,0.671
ndhC_ge,1.445,2.046,2.568
rpl20_ge,1.973,2.526,2.537
matK_ge,5.892,9.585,9.382
atpF_ge,7.832,12.496,12.277
rpl2_ge,5.189,10.899,13.476
atpI_ge,2.341,4.592,4.724
rpl32_ge,1.507,2.224,2.322
psbD_ge,2.961,5.335,5.212
rps4_ge,2.491,4.066,4.766
psbK_ge,0.846,1.367,1.511
rpl33_ge,1.13,1.623,1.985
rpoC2_ge,17.935,26.886,32.72
ndhG_ge,2.155,3.04,2.78
ndhE_ge,1.183,1.656,1.753
psaC_ge,1.04,1.489,1.51
rps16_ge,8.72,19.255,18.723
petL_ge,0.564,1.276,1.536
ndhJ_ge,1.707,2.543,3.065
ndhF_ge,9.298,12.755,11.912
psbL_ge,1.576,1.138,1.301
rpl14_ge,1.643,2.236,2.331
petD_ge,8.197,10.584,12.427
atpE_ge,1.66,2.764,2.581
ycf1_ge,38.525,113.298,103.545
ndhB_ge,6.694,13.313,12.134
ndhH_ge,3.908,5.472,6.584
psbB_ge,4.855,6.921,6.948
ndhA_ge,12.719,27.048,23.699
rps3_ge,3.48,4.589,4.69
rps15_ge,1.227,1.655,1.497
ccsA_ge,3.673,5.677,4.988
rps18_ge,3.047,6.117,7.201
rpoA_ge,4.771,8.033,7.943
atpH_ge,0.969,1.51,1.554
psbZ_ge,0.896,1.173,1.181
rps2_ge,3.165,5.243,6.288
psbA_ge,3.09,5.254,6.232
psbF_ge,0.668,0.516,0.534
rpl22_ge,2.472,3.369,4.431
rpl23_ge,1.393,3.209,3.911
clpP_ge,14.847,23.892,23.008
ycf4_ge,2.152,3.478,3.332
rps7_ge,2.414,3.421,4.423
ndhD_ge,5.075,9.324,8.725
petB_ge,6.748,10.703,13.46
