gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rps14,0.057,0.0542,0.0532,0.003,0.0225,0.0262,0.056,0.0542,0.0533,0.056,0.0542,0.0532,2.337,3.164,3.146
psaA,0.053,0.0523,0.0553,0.053,0.0528,0.0558,0.003,0.00578,0.00967,0.003,0.00767,0.0102,14.275,25.971,23.691
ndhG,0.024,0.0253,0.0359,0.113,0.101,0.119,0.113,0.101,0.119,0.113,0.101,0.119,3.66,5.365,5.532
concatenated_125spp,7e-07,2.87e-05,1.9e-09,0.487,0.483,0.478,0.581,0.622,0.628,0.581,0.622,0.628,483.092,2685.757,2308.246
petL,0.047,0.0121,0.0128,0.047,0.0429,0.00177,0.047,0.0454,0.0431,0.047,0.0454,0.0431,0.898,0.962,1.109
rps11,0.13,0.135,0.133,0.002,0.134,0.133,0.002,0.134,0.133,0.002,0.134,0.133,1.989,2.641,2.805
cemA,0.0001,5.27e-05,0.00011,0.0003,0.00017,4.74e-05,0.0003,0.000207,4.66e-05,0.0003,0.000207,4.66e-05,4.125,5.366,5.558
psaC,0.057,0.0608,0.0711,0.057,0.00447,0.0261,0.057,0.0326,0.0283,0.057,0.0344,0.0262,1.806,3.336,3.261
rps18,0.031,0.164,0.161,0.191,0.193,0.2,0.191,0.193,0.019,0.191,0.193,0.2,1.155,1.63,1.788
petB,0.005,0.00644,0.00507,0.142,0.125,0.161,0.142,0.125,0.161,0.142,0.125,0.161,5.42,24.915,23.446
rpl22,0.005,0.00446,0.00687,0.005,0.00491,0.00661,0.005,0.00491,0.00661,0.005,0.00491,0.00661,2.335,4.757,4.43
rps7,0.032,0.0297,0.0303,0.032,0.0297,0.0303,0.032,0.0297,0.0303,0.032,0.0297,0.0303,2.163,0.98,0.951
ndhJ,0.004,0.00397,0.00285,0.036,0.0299,0.0359,0.036,0.0299,0.0359,0.036,0.0299,0.0359,2.242,4.81,4.605
psbA,0.022,0.0229,0.0166,0.092,0.0759,0.0691,0.092,0.0759,0.0685,0.092,0.0759,0.0685,4.858,10.925,10.203
rpl32,0.016,0.0127,0.012,0.016,0.0122,0.012,0.016,0.00682,0.0082,0.016,0.00569,0.00371,1.085,3.155,2.727
ndhH,0.157,0.15,0.143,0.038,0.0384,0.0368,0.038,0.0384,0.0368,0.038,0.0384,0.0368,3.401,10.641,10.991
rbcL,0.033,0.0445,0.0423,0.001,0.014,0.00812,0.005,0.014,0.00812,0.005,0.00884,0.00603,5.806,13.428,10.949
matK,0.01,0.0157,0.0129,0.221,0.226,0.226,0.221,0.226,0.226,0.221,0.226,0.226,7.725,21.764,22.696
rpl2,0.014,0.0139,0.0141,0.118,0.122,0.128,0.118,0.122,0.128,0.118,0.122,0.128,8.244,4.319,3.202
ndhI,0.0002,0.000574,4.88e-05,0.0002,5.74e-05,6.68e-05,0.0002,7.57e-05,0.000666,0.0002,7.57e-05,0.000137,1.618,4.49,5.914
rpl14,0.026,0.0398,0.0408,0.043,0.0391,0.0404,0.043,0.0391,0.0404,0.043,0.0391,0.0409,1.838,3.362,3.178
ycf4,0.008,0.00361,0.00353,0.022,0.0131,0.0193,0.022,0.0131,0.0192,0.022,0.0131,0.0193,2.553,3.93,3.906
psbE,0.17,0.172,0.175,0.17,0.0179,0.0194,0.17,0.172,0.175,0.17,0.172,0.17,1.359,0.885,0.888
psbC,0.028,0.0304,0.0255,0.041,0.527,0.529,0.52,0.527,0.529,0.52,0.527,0.529,6.063,16.123,16.448
rpoA,0.006,0.00561,0.00369,0.02,0.0203,0.0205,0.02,0.0201,0.0205,0.02,0.0203,0.0205,6.512,17.407,18.495
ccsA,6e-05,5.77e-94,3.42e-05,1e-07,1.51e-05,1.06e-07,1e-07,1.51e-05,1.06e-07,1e-07,1.51e-05,1.06e-07,6.023,12.029,12.004
rps15,0.056,0.0642,0.0618,0.056,0.063,0.0611,0.056,0.063,0.0611,0.056,0.063,0.0611,1.351,2.599,2.791
ndhC,0.014,0.0125,0.0136,0.014,0.0135,0.0142,0.014,0.0133,0.0141,0.014,0.0133,0.0141,1.81,3.051,3.379
psbK,4e-07,1.85e-06,0.000173,4e-07,1.85e-06,0.000173,0.044,0.0468,0.0475,0.044,0.0502,0.0475,1.474,1.797,1.762
rps19,0.003,0.00209,0.00193,0.009,0.0102,0.00849,0.009,0.0102,0.00849,0.009,0.0102,0.00849,2.058,2.687,2.891
ycf1,0.012,0.0128,0.0129,0.021,0.0262,0.0215,0.021,0.026,0.0225,0.021,0.0253,0.0209,40.482,252.084,249.16
rps12,0.078,0.0705,0.0779,0.065,0.0706,0.0777,0.065,0.0706,0.0777,0.065,0.0706,0.0777,3.724,2.209,1.963
psbD,0.014,0.0158,0.0126,0.014,0.0161,0.00123,0.014,0.0161,0.00912,0.014,0.0161,0.0127,4.271,4.187,3.445
rpoC2,0.001,0.000578,0.0011,0.001,0.00343,0.00334,0.001,0.00343,0.00334,0.001,0.00343,0.00334,18.193,85.242,81.006
psbH,0.077,0.0892,0.0954,0.035,0.09,0.0969,0.035,0.09,0.0969,0.035,0.09,0.0969,0.863,1.03,1.166
psbJ,1e-05,1.24e-10,1.4e-07,1e-05,9.89e-10,1.4e-07,1e-05,9.89e-10,1.4e-07,1e-05,9.89e-10,1.39e-07,0.607,0.759,0.921
ndhB,0.003,0.00207,0.00174,0.009,0.00574,0.00833,0.009,0.00593,0.00815,0.009,0.00592,0.00832,6.117,3.81,3.355
rpoB,0.033,0.0284,0.0278,0.299,0.275,0.288,0.299,0.275,0.289,0.299,0.275,0.289,8.812,40.348,34.028
rpl33,0.059,0.061,0.0646,0.059,0.061,0.0646,0.069,0.039,0.0435,0.069,0.039,0.0434,0.821,1.905,2.065
clpP,0.001,0.00285,0.000682,0.042,0.043,0.0491,0.044,0.0434,0.0489,0.044,0.0432,0.0489,5.408,25.184,23.078
ycf2,0.01,0.0105,0.0114,0.398,0.395,0.416,0.398,0.395,0.416,0.398,0.394,0.416,18.539,101.582,106.831
petD,0.004,0.00421,0.00312,0.028,0.0309,0.0316,0.028,0.0309,0.0316,0.028,0.0309,0.0316,8.834,20.795,21.428
psbI,5e-08,1.28e-05,1.87e-06,5e-08,1.28e-05,1.87e-06,5e-08,1.28e-05,1.87e-06,5e-08,1.28e-05,1.87e-06,1.033,0.539,0.604
