gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.011,0.00824,0.00767,1.829,4.387,4.206
ndhB_cd,0,0.0813,0.083,0.008,19.122,17.066
ndhA_cd,0.046,0.0567,0.0455,4.812,15.097,15.181
psbK_cd,0.192,0.186,0.184,0.971,3.063,3.363
rps16_cd,0.044,0.0478,0.0436,1.588,5.174,5.266
ndhG_cd,0.044,0.0372,0.0415,2.315,7.086,7.286
rps18_cd,0.069,0.0664,0.0762,4.308,14.977,13.676
ndhI_cd,0.022,0.0214,0.0201,2.182,6.823,6.045
atpH_cd,0.021,0.0162,0.0215,1.472,3.883,3.325
psbZ_cd,0.001,0.00131,0.00281,0.677,1.95,1.794
ndhJ_cd,0.001,0.00178,0.00122,1.512,4.728,5.796
rpoC1_cd,0.121,0.12,0.116,10.606,24.671,25.056
psbH_cd,0.093,0.092,0.101,1.026,2.603,2.995
petN_cd,0.0002,0.000559,0.000182,0.495,0.989,1.027
rps4_cd,0.021,0.0161,0.0219,2.474,7.259,7.037
rpl36_cd,0.0004,0.000286,2.54e-05,0.437,0.797,0.816
rbcL_cd,0.005,0.00377,0.00464,5.091,12.138,11.84
psbE_cd,0.001,0.0021,0.00143,1.253,4.037,2.621
psbC_cd,0.014,0.0126,0.0127,5.29,11.216,10.269
psbJ_cd,2e-07,0.000329,2.26e-91,0.461,1.804,2.26
rpl2_cd,0.19,0.207,0.192,4.752,11.255,11.504
matK_cd,0.014,0.0124,0.0154,7.142,18.244,16.902
clpP_cd,0.003,0.00321,0.00244,4.783,8.304,6.564
rpl22_cd,0.004,0.00219,0.0034,4.029,6.304,5.853
rps19_cd,0.032,0.0293,0.025,1.905,6.803,6.175
rps7_cd,0.025,0.0261,0.0265,1.967,8.345,7.824
psaC_cd,0.0004,0.000224,0.000247,1.079,3.234,2.879
psbL_cd,0.0003,0.000511,0.00043,0.643,1.192,0.85
ndhF_cd,0.031,0.0302,0.0315,9.252,22.156,24.999
psaA_cd,0.226,0.237,0.231,8.296,19.357,21.101
rps11_cd,0.025,0.0223,0.0268,1.598,6.262,5.609
rpoA_cd,0.009,0.0161,0.0114,4.734,16.209,13.126
ndhC_cd,0.039,0.0393,0.0413,1.083,2.767,2.913
psbI_cd,2e-05,0.000237,0.000128,0.45,1.721,2.672
rps2_cd,0,0.0556,0.0584,0.006,12.594,9.569
ycf1_cd,0.211,0.207,0.219,54.975,157.559,143.103
psbM_cd,0.0005,0.000503,0.000394,0.915,2.021,2.117
petD_cd,0.021,0.0231,0.0227,3.071,5.76,5.963
rpl16_cd,0.034,0.0341,0.0394,2.56,4.812,4.064
atpA_cd,0.09,0.088,0.0904,4.559,16.347,17.009
rps3_cd,0.227,0.238,0.237,5.318,9.254,8.314
rpl20_cd,0.018,0.0216,0.0208,3.085,6.736,6.019
rpl23_cd,0.006,0.00898,0.00792,2.213,7.365,6.869
rpoC2_cd,0,0.273,0.266,0.007,60.344,45.998
ycf4_cd,0.024,0.0277,0.0227,3.029,6.562,5.986
ycf3_cd,0,0.165,0.172,0.009,5.764,5.73
rpl14_cd,0.022,0.0192,0.0249,1.275,3.537,3.716
petG_cd,2e-16,0.000407,4.23e-06,0.7,1.492,1.77
cemA_cd,0.167,0.16,0.184,2.838,7.969,8.71
psbB_cd,0.229,0.205,0.212,5.554,13.867,12.49
rps8_cd,0.012,0.0107,0.0108,1.623,4.358,4.993
psaJ_cd,0.0002,0.00308,0.0055,0.837,3.258,2.82
rps12_cd,0.01,0.0095,0.0126,1.212,3.453,3.573
atpE_cd,0.065,0.0647,0.0596,2.479,5.022,4.813
psbT_cd,0.001,8.04e-05,0.000158,0.749,2.777,3.375
psbA_cd,0.05,0.0456,0.0546,5.451,10.791,9.138
petB_cd,0.108,0.102,0.115,2.232,6.308,6.328
psaI_cd,0.002,0.00334,0.000979,0.595,2.281,2.089
psaB_cd,0.067,0.0753,0.0803,7.158,18.191,16.887
psbD_cd,4e-06,1.21e-30,1.09e-10,4.237,10.624,10.364
ndhK_cd,0.285,0.291,0.282,3.635,7.195,6.407
atpI_cd,0.079,0.0759,0.069,3.173,8.214,7.747
ccsA_cd,0.123,0.122,0.127,4.149,9.592,9.305
psbN_cd,0.003,0.00329,0.00457,0.775,1.671,1.69
petA_cd,0.031,0.0295,0.0321,3.227,8.633,9.265
psbF_cd,5e-05,2.58e-05,6.55e-15,0.779,0.864,0.644
rpl33_cd,0.005,0.00618,0.00901,0.861,2.149,2.211
rpl32_cd,0.004,0.00234,0.00434,1.176,4.553,4.775
atpB_cd,0.045,0.0464,0.0489,8.099,21.258,22.745
rpoB_cd,0.062,0.0565,0.0627,12.493,39.974,36.863
rps14_cd,0.042,0.0415,0.0379,1.135,3.6,4.136
ndhD_cd,0,0.0472,0.0521,0.005,16.732,13.744
accD_cd,0.007,0.00328,0.00429,17.317,25.953,28.678
petL_cd,0.001,0.00147,0.00153,0.693,2.877,2.478
ndhH_cd,0,0.126,0.125,0.007,10.649,11.922
atpF_cd,0.043,0.0493,0.0486,2.411,7.402,8.009
rps15_cd,0.095,0.0904,0.0821,1.912,2.79,2.929
ycf2_cd,0,0.0805,0.0838,0.006,323.259,343.092
