gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA_ex,0.064,0.0545,0.0726,4.713,9.022,6.937
rps2_ex,0.034,0.0322,0.0404,3.02,9.294,8.521
rps4_ex,0.03,0.0332,0.0329,2.738,7.96,6.265
rps14_ex,0.048,0.0517,0.0446,0.953,2.984,4.062
ndhB_ex,0.069,0.0794,0.0827,5.756,12.002,14.798
psaJ_ex,0.024,0.019,0.0214,0.891,1.369,1.453
petG_ex,2e-10,5.71e-06,1.92e-06,0.799,1.838,1.572
petN_ex,1e-06,6.71e-06,6.89e-06,0.403,0.923,1.019
clpP_ex,0.002,0.000844,0.00105,4.002,8.502,8.6
rps12_ex,0.018,0.015,0.0175,1.236,2.234,3.209
psbL_ex,4e-05,0.000183,0.000123,0.622,2.258,2.183
ndhC_ex,0.015,0.0125,0.0168,1.484,3.863,3.647
psbJ_ex,1e-05,2.07e-05,9.5e-07,0.446,1.261,1.524
psbC_ex,0.013,0.0138,0.0122,4.923,10.842,11.152
psaA_ex,0.259,0.249,0.252,7.536,17.466,15.407
psbT_ex,5e-05,0.000168,7.91e-05,0.432,1.649,2.156
atpH_ex,0.006,0.00797,0.00705,0.974,2.931,2.899
rpl36_ex,9e-06,2.67e-06,3.75e-07,0.681,1.682,1.533
psbE_ex,0.015,0.0137,0.0126,0.964,2.708,2.903
psbZ_ex,0.006,0.0102,0.00795,0.817,2.307,2.414
ycf1_auto_ex,0.123,0.116,0.107,44.507,127.768,131.465
psbD_ex,8e-07,2.03e-41,2.16e-05,5.5,10.208,11.069
ccsA_ex,0.091,0.0931,0.0914,4.102,10.131,10.349
psaC_ex,0.005,0.00264,0.00255,1.374,3.101,2.994
atpA_ex,0.08,0.0745,0.0798,8.113,14.408,18.244
ndhF_ex,0.019,0.0147,0.0134,13.568,24.542,25.59
psbB_ex,0.262,0.254,0.28,5.443,13.812,13.552
accD_ex,0.193,0.202,0.207,14.287,24.729,21.671
rps18_ex,0.01,0.00791,0.00887,2.554,10.487,10.168
rpl2_ex,0.134,0.126,0.118,2.812,7.842,10.251
psbN_ex,0.004,0.00575,0.00976,0.653,1.84,1.72
ndhG_ex,0.04,0.038,0.0368,1.967,5.881,5.5
atpI_ex,0.096,0.103,0.104,2.77,6.61,8.172
psbK_ex,0.213,0.213,0.219,0.992,2.665,2.775
rpl20_ex,0.029,0.0307,0.0283,2.1,4.972,4.925
ndhJ_ex,0.001,0.00108,0.00147,1.84,4.638,4.788
petD_ex,0.025,0.0255,0.0227,2.883,5.059,3.961
rpl23_ex,0.018,0.0184,0.0198,1.036,5.412,5.626
psbI_ex,0.0001,0.000167,0.000351,0.576,1.585,1.868
ycf2_auto_ex,0.024,0.0192,0.0229,31.614,245.292,372.208
rps7_ex,0.021,0.023,0.0254,2.85,11.483,10.779
rbcL_ex,0.207,0.213,0.228,5.588,14.245,16.581
rps19_ex,0.023,0.0229,0.0198,2.809,12.677,12.293
petL_ex,0.003,0.00162,0.000994,0.744,5.755,5.811
ndhK_ex,0.33,0.354,0.351,4.823,21.867,16.504
psbM_ex,0.0002,3.6e-05,5.8e-05,0.855,3.444,4.135
ycf3_ex,0.211,0.206,0.211,3.481,7.325,7.05
rps16_ex,0.063,0.057,0.0648,1.657,7.142,8.211
rps11_ex,0.036,0.0465,0.0444,2.227,9.031,8.89
rps15_ex,0.056,0.055,0.0644,1.333,3.553,4.049
petA_ex,0.043,0.0448,0.0438,5.571,11.018,10.462
rpoB_ex,0.18,0.171,0.177,13.161,44.701,39.631
ndhI_ex,0.13,0.115,0.128,1.488,4.624,5.999
rpl22_ex,0.016,0.0116,0.0135,2.866,6.492,5.221
psaI_ex,0.0003,0.000143,0.000302,0.609,2.173,2.32
rpoA_ex,0.028,0.0237,0.0274,4.255,14.765,17.014
psbF_ex,1e-07,2.16e-08,7.66e-09,0.752,0.77,0.821
rps8_ex,0.023,0.0156,0.0156,1.489,4.203,4.03
atpB_ex,0.068,0.0656,0.0596,4.844,16.747,14.197
ycf4_ex,0.031,0.0313,0.0216,1.519,5.707,6.625
petB_ex,0.052,0.0535,0.0566,2.555,5.956,4.817
rpl32_ex,0,0.00344,0.00484,0.005,3.151,3.342
atpE_ex,0.094,0.0934,0.088,1.949,4.976,4.913
atpF_ex,0.026,0.0298,0.0358,2.303,6.545,7.051
rpl14_ex,0.024,0.0193,0.0228,1.44,4.395,4.181
matK_ex,0.009,0.00685,0.0073,6.839,20.879,17.666
ndhD_ex,0.06,0.0612,0.055,5.055,15.946,17.956
ndhA_ex,0.025,0.0283,0.0325,4.326,12.497,9.735
rpoC2_ex,0.227,0.228,0.231,19.59,48.557,51.546
rpl33_ex,0.001,0.00221,0.00112,1.063,2.405,2.54
psbH_ex,0.059,0.0542,0.0531,0.764,1.996,3.268
cemA_ex,0,0.186,0.171,0.007,9.47,7.808
ndhE_ex,0.015,0.0148,0.0131,1.663,3.262,3.13
rpl16_ex,0.037,0.0267,0.0335,2.383,4.41,3.256
psaB_ex,0.223,0.221,0.211,6.837,20.457,19.187
ndhH_ex,0.105,0.105,0.111,4.227,10.205,9.477
rpoC1_ex,0.185,0.171,0.172,5.543,24.893,26.297
rps3_ex,0.3,0.306,0.292,3.234,13.01,10.247
