gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC2_ge,0.303,0.316,0.296,20.282,72.175,63.852
ndhD_ge,0.068,0.0632,0.0595,5.363,20.087,18.624
psbD_ge,2e-07,3.8e-05,1.63e-05,4.451,10.454,11.536
atpA_ge,0.088,0.0798,0.0876,6.32,15.057,15.043
atpH_ge,0.009,0.011,0.00891,0.787,2.046,2.27
rps15_ge,0.058,0.0581,0.0553,0.951,2.287,2.631
rpl22_ge,0.014,0.0181,0.0126,2.399,4.782,4.735
ycf1_ge,0.13,0.117,0.134,61.416,202.944,158.865
rps8_ge,0.011,0.00867,0.00763,1.589,4.197,4.516
rpl36_ge,0.0003,1.43e-07,1.76e-05,0.523,1.366,1.296
ccsA_ge,0.096,0.096,0.101,2.893,8.386,11.658
psaC_ge,0.002,0.00165,0.00207,1.07,3.243,2.975
rpoB_ge,0.062,0.0723,0.0573,12.401,41.607,37.886
ndhA_ge,0.094,0.0874,0.088,15.044,41.219,27.666
rps11_ge,0.046,0.0493,0.0469,1.804,5.316,4.657
psbF_ge,3e-06,2.41e-85,1.81e-16,0.696,1.465,1.08
psbH_ge,0.087,0.0844,0.0887,1.386,3.036,2.79
rpl14_ge,0.012,0.0106,0.0151,1.441,4.405,3.738
rpl33_ge,0.001,0.00148,0.00156,0.917,2.265,2.704
ndhG_ge,0.045,0.0424,0.0447,2.183,6.072,6.343
psaJ_ge,0.034,0.0363,0.0329,0.715,0.826,1.094
cemA_ge,0,0.141,0.141,0.005,8.632,9.435
petB_ge,0.082,0.0874,0.0846,6.051,16.085,18.412
accD_ge,0.144,0.142,0.137,15.435,25.097,25.674
rps12_ge,0.04,0.0361,0.0379,2.852,12.357,11.475
rpl32_ge,0.009,0.00705,0.00642,1.571,5.015,5.338
atpF_ge,0.004,0.00641,0.004,7.911,19.504,34.981
clpP_ge,0.036,0.0314,0.0299,23.129,65.407,56.692
atpB_ge,0.043,0.0428,0.0442,6.603,25.634,22.01
rpoA_ge,0.027,0.0311,0.0363,3.744,17.761,22.544
petG_ge,3e-08,3.37e-11,1.98e-07,0.659,2.283,2.54
rpoC1_ge,0.037,0.0323,0.0363,15.703,52.265,64.686
petL_ge,0.001,0.00308,0.00123,0.722,5.268,4.959
psbC_ge,0.016,0.0148,0.0146,6.908,25.334,17.823
psbE_ge,0.01,0.00974,0.011,1.628,6.486,4.685
psbT_ge,0.0002,0.000466,2.76e-05,0.657,3.969,3.932
psbL_ge,2e-05,0.000115,1.33e-05,0.745,3.108,3.063
ndhC_ge,0.019,0.0206,0.015,1.908,5.867,6.621
rbcL_ge,0.2,0.179,0.181,6.625,12.037,9.938
psbN_ge,0.005,0.00742,0.00973,0.657,1.916,1.401
ndhJ_ge,0.001,0.00154,0.00243,1.965,3.842,3.88
psbI_ge,0.0003,6.83e-05,0.000222,0.454,1.388,2.082
rps14_ge,0.036,0.0333,0.0325,1.443,4.817,4.679
ndhI_ge,0.026,0.0294,0.0196,3.179,5.921,6.058
psbZ_ge,0.007,0.00935,0.00966,1.077,2.797,2.531
petD_ge,0.331,0.328,0.322,8.566,17.438,20.379
psaI_ge,0.0002,0.00125,0.000166,0.775,2.111,2.581
psbM_ge,0.0002,0.000259,0.00018,0.799,2.296,2.185
petN_ge,6e-06,3.86e-05,3.07e-05,0.618,1.178,1.176
ycf3_ge,0.025,0.0233,0.0257,13.133,38.041,38.284
psaA_ge,0.158,0.152,0.145,9.133,20.074,25.439
rps16_ge,0.074,0.0805,0.0718,10.886,35.365,31.05
ndhH_ge,0.075,0.0731,0.0797,3.842,11.806,13.075
atpE_ge,0.112,0.126,0.12,2.401,5.21,5.434
rps3_ge,0.272,0.276,0.272,3.364,9.577,7.223
petA_ge,0.022,0.0276,0.0269,4.115,10.379,13.164
rpl23_ge,0.021,0.017,0.0214,1.136,6.26,7.392
atpI_ge,0.061,0.062,0.057,2.521,13.755,15.018
ndhE_ge,0.014,0.0195,0.0151,1.645,4.326,2.75
rpl20_ge,0.047,0.0434,0.0511,1.687,5.493,7.483
psbB_ge,0.25,0.246,0.236,8.293,18.117,14.672
rps18_ge,0.027,0.0245,0.0237,3.109,15.756,11.699
rps4_ge,0.03,0.0305,0.0315,2.978,9.297,6.927
matK_ge,0.021,0.0276,0.0226,6.101,22.324,17.752
ndhB_ge,0.016,0.0154,0.0169,10.095,24.072,27.028
psbJ_ge,3e-10,5.32e-05,2.39e-06,0.781,2.241,2.104
rpl2_ge,0.074,0.0741,0.0839,5.829,15.828,26.513
psbK_ge,0.215,0.217,0.22,1.021,2.729,3.035
rpl16_ge,0.106,0.105,0.106,16.185,23.721,25.186
rps19_ge,0.014,0.0175,0.0149,2.485,9.265,8.994
psaB_ge,0.168,0.191,0.172,10.417,21.888,20.287
ndhK_ge,0.287,0.269,0.283,3.054,7.889,15.764
ycf2_ge,0.015,0.0133,0.0144,59.696,451.536,368.451
psbA_ge,0.028,0.0334,0.0319,5.583,8.663,9.49
rps2_ge,0.027,0.024,0.0255,2.224,7.2,8.657
rps7_ge,0.011,0.0121,0.015,2.236,6.989,6.731
ndhF_ge,0.103,0.0947,0.0974,13.705,24.578,23.508
ycf4_ge,0.032,0.0276,0.0322,2.984,7.422,6.373
