gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhD_ex,0.057s,0.0498*s,0.0559s,4.933,9.286,8.757
clpP_ex,0.002*s,0.000653*s,0.00154*s,2.886,4.695,5.087
rps19_ex,0.027*s,0.0259*s,0.0246*s,1.921,3.918,4.326
rbcL_ex,0.226s,0.216s,0.209s,4.635,5.947,7.166
rpl2_ex,0.121s,0.126s,0.127s,2.897,4.906,6.269
rps4_ex,0.031*s,0.0311*s,0.0352*s,2.447,4.198,4.77
accD_ex,0.189s,0.198s,0.191s,11.254,14.172,13.293
atpH_ex,0.008*s,0.00612*s,0.00607*s,1.013,1.518,1.538
ndhA_ex,0.028*s,0.0279*s,0.0298*s,3.678,6.74,6.982
rps14_ex,0.045*s,0.0439*s,0.0511s,1.252,1.817,2.206
psbE_ex,0.014*s,0.014*s,0.0139*s,1.078,1.43,1.421
rpoC1_ex,0.162s,0.158s,0.164s,7.047,13.087,11.581
psbN_ex,0.006*s,0.00705*s,0.00834*s,0.665,0.877,1.046
petN_ex,9e-07*s,3.83e-05*s,1.82e-05*s,0.532,0.449,0.513
psbK_ex,0.209s,0.21s,0.231s,0.816,1.374,1.505
psaJ_ex,0.022*s,0.0232*s,0.0215*s,0.787,0.583,0.674
psbT_ex,4e-05*s,7.69e-05*s,0.000237*s,0.722,1.393,1.422
rpl14_ex,0.023*s,0.0265*s,0.023*s,1.556,2.247,2.35
ndhF_ex,0.017*s,0.0151*s,0.0141*s,8.354,13.351,12.997
rps18_ex,0.012*s,0.0112*s,0.0101*s,2.672,6.708,5.731
atpE_ex,0.091s,0.0994s,0.0807s,1.686,2.627,2.405
petA_ex,0.039*s,0.0419*s,0.0407*s,3.099,5.704,6.256
rpl36_ex,1e-12*s,6.56e-05*s,0.000152*s,0.58,0.822,0.884
rps11_ex,0.041*s,0.048*s,0.0389*s,1.906,2.806,3.155
psbZ_ex,0.007*s,0.00514*s,0.00726*s,0.901,1.137,1.158
rps15_ex,0.05*s,0.0575s,0.0569s,1.244,1.623,1.54
rpl20_ex,0.026*s,0.0353*s,0.0322*s,1.949,2.59,2.532
rps8_ex,0.018*s,0.018*s,0.0225*s,1.689,2.412,2.258
rpl32_ex,0*s,0.00619*s,0.00546*s,0.018,2.465,2.519
petG_ex,3e-06*s,0.000117*s,0.000197*s,0.616,0.914,0.964
rps3_ex,0.291s,0.283s,0.322s,3.399,4.825,4.782
petL_ex,0.002*s,0.00147*s,0.00265*s,0.55,1.287,1.54
psaI_ex,0.0003*s,0.000379*s,9.25e-05*s,0.665,1.052,1.192
psbJ_ex,5e-05*s,5.93e-07*s,4.03e-08*s,0.688,0.902,0.981
psaC_ex,0.003*s,0.00164*s,0.00214*s,1.026,1.484,1.493
rps7_ex,0.019*s,0.0253*s,0.0234*s,2.262,2.859,2.815
ndhC_ex,0.012*s,0.0119*s,0.0127*s,1.399,2.096,2.539
psbI_ex,0.0002*s,0.000276*s,0.000104*s,0.59,0.93,1.045
psbF_ex,4e-167*s,3.15e-06*s,1.76e-10*s,0.676,0.517,0.55
rpoB_ex,0.165s,0.176s,0.172s,11.315,25.255,18.29
rps12_ex,0.016*s,0.0174*s,0.0185*s,1.329,1.736,1.991
psbC_ex,0.013*s,0.014*s,0.0149*s,4.016,6.616,7.783
rpoA_ex,0.028*s,0.0246*s,0.0232*s,4.332,8.407,7.756
rps2_ex,0.035*s,0.0368*s,0.033*s,2.78,5.474,6.257
ndhJ_ex,0.001*s,0.000967*s,0.0016*s,1.738,2.602,3.097
rpl22_ex,0.013*s,0.0125*s,0.0155*s,2.576,3.228,4.014
ndhK_ex,0.355s,0.358s,0.356s,2.614,4.092,5.109
psbL_ex,0.001*s,5.71e-05*s,0.000308*s,1.544,1.077,1.243
psaA_ex,0.257s,0.252s,0.241s,6.049,10.547,12.39
atpB_ex,0.061s,0.0596s,0.0536s,4.393,10.135,12.117
rpl16_ex,0.027*s,0.0305*s,0.0294*s,1.706,2.384,2.62
ndhE_ex,0.015*s,0.0163*s,0.0161*s,1.159,1.691,1.758
petD_ex,0.031*s,0.0286*s,0.0267*s,1.738,2.895,3.141
petB_ex,0.052s,0.0535s,0.0535s,2.171,3.858,4.101
ndhG_ex,0.04*s,0.0358*s,0.0408*s,1.984,3.197,2.796
ndhB_ex,0.074s,0.0733s,0.0698s,4.446,8.496,7.049
psbH_ex,0.057s,0.0551s,0.0585s,1.01,1.442,1.456
psbM_ex,0.001*s,7.29e-05*s,7.13e-05*s,0.624,1.065,1.089
matK_ex,0.006*s,0.00616*s,0.00733*s,6.08,9.461,8.932
ccsA_ex,0.09s,0.0935s,0.0992s,3.744,5.556,4.972
psbB_ex,0.264s,0.244s,0.261s,4.43,7.259,6.933
rpl23_ex,0.019*s,0.0173*s,0.0171*s,1.301,3.237,3.177
ndhH_ex,0.122s,0.102s,0.113s,4.158,5.394,6.484
psbD_ex,1e-66*s,0.000264*s,4.59e-52*s,2.951,5.434,5.107
ycf1_auto_ex,0.113s,0.118s,0.117s,36.533,80.057,92.279
ndhI_ex,0.118s,0.111s,0.122s,1.966,2.929,3.034
rps16_ex,0.075s,0.0588s,0.068s,1.486,2.786,3.14
ycf4_ex,0.031*s,0.0312*s,0.0245*s,2.217,3.393,3.333
atpI_ex,0.094s,0.105s,0.0926s,2.544,4.521,4.833
rpoC2_ex,0.239s,0.229s,0.218s,16.051,35.827,25.551
atpF_ex,0.03*s,0.0284*s,0.0282*s,2.045,3.401,3.824
ycf3_ex,0.199s,0.205s,0.202s,1.837,2.974,3.089
atpA_ex,0.072s,0.078s,0.078s,4.957,9.343,8.151
psaB_ex,0.216s,0.216s,0.228s,5.997,11.452,12.777
ycf2_auto_ex,0.022*s,0.0225*s,0.0195*s,29.932,186.17,178.039
psbA_ex,0.064s,0.0665s,0.0668s,3.116,5.096,6.293
cemA_ex,0*s,0.181s,0.167s,0.02,4.654,5.353
rpl33_ex,0.001*s,0.000751*s,0.000673*s,1.127,1.769,1.964
