gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ycf2_ge,0.014*s,0.0113*s,0.013*s,31.03,170.09,234.158
rps12_ge,0.008*s,0.00593*s,0.00475*s,3.171,4.837,5.679
psbC_ge,0.011*s,0.0139*s,0.0127*s,4.365,6.214,7.212
rps19_ge,0.011*s,0.0117*s,0.0118*s,1.766,3.769,4.464
psbT_ge,0.0004*s,0.00252*s,0.000591*s,0.688,1.272,1.495
psaI_ge,0.001*s,0.00135*s,0.00178*s,0.613,1.049,1.25
rps11_ge,0.035*s,0.0347*s,0.0327*s,1.936,2.729,2.906
atpA_ge,0.103s,0.0962s,0.0957s,4.601,9.567,8.065
rpl36_ge,1e-06*s,9.8e-05*s,0.000162*s,0.539,1.042,1.103
psbJ_ge,2e-05*s,7.31e-06*s,2.32e-06*s,0.697,1.186,1.31
ycf3_ge,0.024*s,0.0265*s,0.0208*s,12.925,25.616,17.873
psbN_ge,0.004*s,0.00238*s,0.00386*s,0.612,0.848,0.922
cemA_ge,0*s,0.138s,0.152s,0.036,4.801,4.444
petG_ge,4e-10*s,7.57e-08*s,5.09e-07*s,0.55,0.73,0.873
psaB_ge,0.099s,0.0973s,0.109s,6.094,11.343,13.13
rps8_ge,0.006*s,0.00744*s,0.0096*s,1.745,2.308,2.952
rps14_ge,0.036*s,0.0382*s,0.0412*s,1.207,1.75,2.139
psbE_ge,9e-05*s,0.000396*s,0.000363*s,1.036,1.444,1.464
rpl16_ge,0.057s,0.0634s,0.0572s,10.692,14.254,17.298
ndhK_ge,0.25s,0.247s,0.257s,2.771,3.84,4.93
ndhI_ge,0.03*s,0.0282*s,0.0256*s,1.901,3.037,3.362
psaA_ge,0.147s,0.149s,0.14s,6.161,10.353,12.264
atpB_ge,0.037*s,0.0421*s,0.037*s,4.465,10.188,12.053
rbcL_ge,0.003*s,0.00179*s,0.00205*s,4.518,5.863,7.041
rpoC1_ge,0.035*s,0.0379*s,0.0315*s,13.195,21.898,27.051
accD_ge,0.121s,0.129s,0.124s,11.524,14.326,13.024
rpoB_ge,0.069s,0.0717s,0.0586s,10.824,19.223,17.909
psbM_ge,0.0003*s,0.000293*s,0.000344*s,0.605,1.024,1.163
petA_ge,0.023*s,0.024*s,0.0247*s,3.29,5.339,5.656
psbI_ge,6e-05*s,0.000478*s,1.59e-05*s,0.55,0.956,1.063
petN_ge,3e-05*s,3.61e-06*s,9.47e-05*s,0.559,0.462,0.513
psbH_ge,0.07s,0.0676s,0.0667s,0.951,1.508,1.525
psaJ_ge,9e-05*s,0.0118*s,0.0121*s,1.287,0.559,0.656
ndhC_ge,0.034*s,0.0274*s,0.0285*s,1.427,2.091,2.512
rpl20_ge,0.014*s,0.013*s,0.0126*s,1.861,2.615,2.58
matK_ge,0.028*s,0.0189*s,0.021*s,6.375,9.039,9.591
atpF_ge,0.004*s,0.00395*s,0.00416*s,7.764,12.51,12.224
rpl2_ge,0.07s,0.0736s,0.0702s,5.235,11.171,13.613
atpI_ge,0.063s,0.0591s,0.0577s,2.485,4.594,4.506
rpl32_ge,0.087s,0.0947s,0.0896s,1.552,2.09,1.997
psbD_ge,8e-09*s,0.000249*s,2.87e-06*s,2.977,5.348,5.172
rps4_ge,0.021*s,0.0207*s,0.0208*s,2.459,4.088,4.0
psbK_ge,0.195s,0.186s,0.193s,0.828,1.352,1.481
rpl33_ge,0.002*s,0.00277*s,0.00196*s,1.147,1.558,1.624
rpoC2_ge,0.305s,0.297s,0.307s,18.726,28.386,32.568
ndhG_ge,0.048*s,0.0546s,0.0465*s,2.127,3.035,2.79
ndhE_ge,0.013*s,0.0109*s,0.0101*s,1.219,1.572,1.552
psaC_ge,0.002*s,0.000516*s,0.000496*s,1.033,1.509,1.517
rps16_ge,0.083s,0.083s,0.0721s,9.404,18.77,18.522
petL_ge,0.002*s,0.00215*s,0.0017*s,0.554,1.274,1.369
ndhJ_ge,0.003*s,0.00219*s,0.00116*s,1.654,2.653,2.416
ndhF_ge,0.091s,0.0979s,0.0812s,9.292,12.724,11.946
psbL_ge,0.001*s,0.000998*s,0.000766*s,1.306,0.841,0.94
rpl14_ge,0.014*s,0.0165*s,0.0134*s,1.531,2.317,2.261
petD_ge,0.332s,0.329s,0.33s,7.654,10.463,9.794
atpE_ge,0.112s,0.113s,0.121s,1.588,2.697,2.508
ycf1_ge,0.131s,0.132s,0.132s,43.326,84.553,101.649
ndhB_ge,0.016*s,0.0176*s,0.018*s,6.641,13.224,12.061
ndhH_ge,0.075s,0.0746s,0.071s,3.704,5.646,6.717
psbB_ge,0.193s,0.205s,0.188s,4.451,7.053,6.793
ndhA_ge,0.091s,0.0795s,0.0886s,14.052,17.483,23.634
rps3_ge,0.212s,0.221s,0.201s,3.464,4.629,4.747
rps15_ge,0.081s,0.0738s,0.0712s,1.205,1.566,1.451
ccsA_ge,0.099s,0.104s,0.104s,3.982,5.294,5.015
rps18_ge,0.056s,0.0496*s,0.054s,3.021,5.793,6.134
rpoA_ge,0.029*s,0.0375*s,0.0312*s,4.371,8.232,7.782
atpH_ge,0.026*s,0.0218*s,0.0229*s,0.924,1.594,1.807
psbZ_ge,0.003*s,0.0029*s,0.00383*s,0.935,0.832,0.878
rps2_ge,0.056s,0.047*s,0.0546s,2.839,5.405,5.759
psbA_ge,0.045*s,0.0552s,0.048*s,3.282,5.018,5.077
psbF_ge,2e-14*s,2.63e-05*s,5.5e-05*s,0.661,0.549,0.586
rpl22_ge,0.01*s,0.00983*s,0.0149*s,2.544,3.183,4.459
rpl23_ge,0.009*s,0.00978*s,0.00887*s,1.291,3.288,3.47
clpP_ge,0.149s,0.15s,0.151s,16.597,31.311,23.074
ycf4_ge,0.024*s,0.0216*s,0.0257*s,2.101,3.634,3.617
rps7_ge,0.012*s,0.0142*s,0.0102*s,2.337,3.389,4.359
ndhD_ge,0.05*s,0.0637s,0.0603s,5.301,9.061,8.897
petB_ge,0.077s,0.0864s,0.0882s,6.61,10.835,13.273
