"","gene","mlcalc","hypo","value"
"294","psbC","IQTree","Hypo 2",0.274193970271655
"83","concatenated_125spp","RAxML","Hypo 3",0.252319902768952
"84","concatenated_125spp","RAxML","Hypo 4",0.252319902768952
"25","atpE","RAxML","Hypo 1",0.210407044967606
"583","rps4","IQTree","Hypo 3",0.15937691175324
"584","rps4","IQTree","Hypo 4",0.15937691175324
"582","rps4","IQTree","Hypo 2",0.159361224894891
"225","petN","RAxML","Hypo 1",0.120155454862995
"226","petN","RAxML","Hypo 2",0.120155454862995
"227","petN","RAxML","Hypo 3",0.120155454862995
"228","petN","RAxML","Hypo 4",0.120155454862995
"26","atpE","RAxML","Hypo 2",0.119578426147863
"211","petG","RAxML","Hypo 3",0.110869292412282
"212","petG","RAxML","Hypo 4",0.110869292412282
"545","rps18","RAxML","Hypo 1",0.110699292379551
"210","petG","RAxML","Hypo 2",0.1105908374746
"577","rps4","RAxML","Hypo 1",0.0918168466749612
"307","psbE","RAxML","Hypo 3",0.0820812605491249
"308","psbE","RAxML","Hypo 4",0.0820812605491249
"575","rps3","IQTree","Hypo 3",0.0773649360714099
"576","rps3","IQTree","Hypo 4",0.0773649360714099
"522","rps14","RAxML","Hypo 2",0.0765136153461156
"510","rps11","IQTree","Hypo 2",0.0748064168370602
"511","rps11","IQTree","Hypo 3",0.0748064168370602
"512","rps11","IQTree","Hypo 4",0.0748064168370602
"549","rps18","IQTree","Hypo 1",0.0739278927965172
"9","atpA","RAxML","Hypo 1",0.0613704597777574
"571","rps3","RAxML","Hypo 3",0.0604345375868248
"572","rps3","RAxML","Hypo 4",0.0604345375868248
"33","atpF","RAxML","Hypo 1",0.0603351749258534
"209","petG","RAxML","Hypo 1",0.0523672925912094
"250","psaC","RAxML","Hypo 2",0.0519505487302564
"581","rps4","IQTree","Hypo 1",0.0480451176846653
"279","psbA","IQTree","Hypo 3",0.0449929253698105
"280","psbA","IQTree","Hypo 4",0.0449929253698105
"441","rpl23","RAxML","Hypo 1",0.0449804772466159
"151","ndhG","IQTree","Hypo 3",0.04403865726079
"513","rps12","RAxML","Hypo 1",0.0410295422023368
"514","rps12","RAxML","Hypo 2",0.0402702123163015
"515","rps12","RAxML","Hypo 3",0.0402702123163015
"516","rps12","RAxML","Hypo 4",0.0402702123163015
"37","atpF","IQTree","Hypo 1",0.0381968585095686
"88","concatenated_125spp","IQTree","Hypo 4",0.0361662826400502
"29","atpE","IQTree","Hypo 1",0.0355949434611154
"87","concatenated_125spp","IQTree","Hypo 3",0.0351188458428424
"326","psbH","IQTree","Hypo 2",0.0338855426398929
"327","psbH","IQTree","Hypo 3",0.0338855426398929
"328","psbH","IQTree","Hypo 4",0.0338855426398929
"249","psaC","RAxML","Hypo 1",0.0320657657531102
"491","rpoC1","RAxML","Hypo 3",0.0291370897654519
"492","rpoC1","RAxML","Hypo 4",0.0291370897654519
"239","psaA","IQTree","Hypo 3",0.0283120580907382
"240","psaA","IQTree","Hypo 4",0.0282486925951155
"254","psaC","IQTree","Hypo 2",0.0279741809531575
"597","rps8","IQTree","Hypo 1",0.0277676070268938
"566","rps2","IQTree","Hypo 2",0.0272143957003152
"565","rps2","IQTree","Hypo 1",0.0270038886088652
"445","rpl23","IQTree","Hypo 1",0.0262741951985847
"446","rpl23","IQTree","Hypo 2",0.0262741951985847
"447","rpl23","IQTree","Hypo 3",0.0262741951985847
"448","rpl23","IQTree","Hypo 4",0.0262741951985847
"457","rpl33","RAxML","Hypo 1",0.0246508282484247
"386","psbZ","RAxML","Hypo 2",0.0242242343842552
"306","psbE","RAxML","Hypo 2",0.0232450711621482
"506","rps11","RAxML","Hypo 2",0.0227156333832011
"442","rpl23","RAxML","Hypo 2",0.0226053091109146
"443","rpl23","RAxML","Hypo 3",0.0226053091109146
"444","rpl23","RAxML","Hypo 4",0.0226053091109146
"505","rps11","RAxML","Hypo 1",0.0226053091109146
"507","rps11","RAxML","Hypo 3",0.0221434715736565
"508","rps11","RAxML","Hypo 4",0.0221434715736565
"387","psbZ","RAxML","Hypo 3",0.0218888139987072
"23","atpB","IQTree","Hypo 3",0.021421795754169
"24","atpB","IQTree","Hypo 4",0.021421795754169
"464","rpl33","IQTree","Hypo 4",0.0205242133426188
"463","rpl33","IQTree","Hypo 3",0.0202296811640718
"54","atpI","IQTree","Hypo 2",0.0187705443004015
"55","atpI","IQTree","Hypo 3",0.0187705443004015
"56","atpI","IQTree","Hypo 4",0.0187705443004015
"17","atpB","RAxML","Hypo 1",0.0185257478481527
"113","ndhC","RAxML","Hypo 1",0.0184754792450246
"86","concatenated_125spp","IQTree","Hypo 2",0.0184481254693623
"245","psaB","IQTree","Hypo 1",0.0183989130113711
"18","atpB","RAxML","Hypo 2",0.0183073755628708
"19","atpB","RAxML","Hypo 3",0.0182500228310359
"20","atpB","RAxML","Hypo 4",0.0182500228310359
"269","psaJ","IQTree","Hypo 1",0.0176511567137492
"241","psaB","RAxML","Hypo 1",0.0165320900070136
"585","rps7","RAxML","Hypo 1",0.0151895797615778
"586","rps7","RAxML","Hypo 2",0.0151895797615778
"587","rps7","RAxML","Hypo 3",0.0151895797615778
"588","rps7","RAxML","Hypo 4",0.0151895797615778
"114","ndhC","RAxML","Hypo 2",0.0145114897006935
"115","ndhC","RAxML","Hypo 3",0.0145014941758887
"116","ndhC","RAxML","Hypo 4",0.0145014941758887
"388","psbZ","RAxML","Hypo 4",0.0142247437000929
"94","matK","IQTree","Hypo 2",0.0137477270848675
"95","matK","IQTree","Hypo 3",0.0137477270848675
"96","matK","IQTree","Hypo 4",0.0137477270848675
"222","petL","IQTree","Hypo 2",0.0136697963896078
"38","atpF","IQTree","Hypo 2",0.0127410099024109
"39","atpF","IQTree","Hypo 3",0.0127410099024109
"40","atpF","IQTree","Hypo 4",0.0127410099024109
"221","petL","IQTree","Hypo 1",0.012619429464124
"321","psbH","RAxML","Hypo 1",0.0125830573921179
"470","rpl36","IQTree","Hypo 2",0.0124933315546068
"471","rpl36","IQTree","Hypo 3",0.0124933315546068
"472","rpl36","IQTree","Hypo 4",0.0124821205463388
"191","petA","IQTree","Hypo 3",0.0122882057274445
"192","petA","IQTree","Hypo 4",0.0122882057274445
"573","rps3","IQTree","Hypo 1",0.0122882057274445
"287","psbB","IQTree","Hypo 3",0.0120384107478244
"288","psbB","IQTree","Hypo 4",0.0120384107478244
"295","psbC","IQTree","Hypo 3",0.0119303534454489
"296","psbC","IQTree","Hypo 4",0.0119303534454489
"286","psbB","IQTree","Hypo 2",0.0118128461148587
"251","psaC","RAxML","Hypo 3",0.0116734742043661
"252","psaC","RAxML","Hypo 4",0.0116734742043661
"278","psbA","IQTree","Hypo 2",0.0116173720493635
"90","matK","RAxML","Hypo 2",0.0115036226178249
"91","matK","RAxML","Hypo 3",0.0115036226178249
"92","matK","RAxML","Hypo 4",0.0115036226178249
"290","psbC","RAxML","Hypo 2",0.0112694276695847
"291","psbC","RAxML","Hypo 3",0.0112694276695847
"292","psbC","RAxML","Hypo 4",0.0112694276695847
"50","atpI","RAxML","Hypo 2",0.0112398102000583
"51","atpI","RAxML","Hypo 3",0.0112398102000583
"52","atpI","RAxML","Hypo 4",0.0112398102000583
"194","petB","RAxML","Hypo 2",0.0111504857891185
"483","rpoB","RAxML","Hypo 3",0.011060440015358
"484","rpoB","RAxML","Hypo 4",0.011060440015358
"313","psbF","RAxML","Hypo 1",0.0109710224379195
"376","psbN","IQTree","Hypo 4",0.0107732693892492
"374","psbN","IQTree","Hypo 2",0.0107461621056078
"10","atpA","RAxML","Hypo 2",0.0106926766215636
"76","clpP","RAxML","Hypo 4",0.0106613007336503
"351","psbK","IQTree","Hypo 3",0.0104532291661477
"325","psbH","IQTree","Hypo 1",0.0102503658471295
"526","rps14","IQTree","Hypo 2",0.0101942794415953
"482","rpoB","RAxML","Hypo 2",0.0100166528008778
"593","rps8","RAxML","Hypo 1",0.00995004187595878
"533","rps15","IQTree","Hypo 1",0.00958244923458159
"123","ndhD","RAxML","Hypo 3",0.00920489000477464
"124","ndhD","RAxML","Hypo 4",0.00920489000477464
"375","psbN","IQTree","Hypo 3",0.00915223105768934
"534","rps15","IQTree","Hypo 2",0.0091
"535","rps15","IQTree","Hypo 3",0.0091
"536","rps15","IQTree","Hypo 4",0.0091
"305","psbE","RAxML","Hypo 1",0.00907377172587746
"11","atpA","RAxML","Hypo 3",0.00905612131838644
"12","atpA","RAxML","Hypo 4",0.00905612131838644
"610","ycf2","RAxML","Hypo 2",0.00873689494805409
"611","ycf2","RAxML","Hypo 3",0.00873689494805409
"612","ycf2","RAxML","Hypo 4",0.00873689494805409
"150","ndhG","IQTree","Hypo 2",0.00862167810425171
"152","ndhG","IQTree","Hypo 4",0.00862167810425171
"578","rps4","RAxML","Hypo 2",0.00850490054811536
"322","psbH","RAxML","Hypo 2",0.00814452781524707
"323","psbH","RAxML","Hypo 3",0.00814452781524707
"324","psbH","RAxML","Hypo 4",0.00814452781524707
"579","rps4","RAxML","Hypo 3",0.00793725393319375
"580","rps4","RAxML","Hypo 4",0.00793725393319375
"567","rps2","IQTree","Hypo 3",0.00774230801075063
"568","rps2","IQTree","Hypo 4",0.00774230801075063
"569","rps3","RAxML","Hypo 1",0.00763762615825974
"453","rpl32","IQTree","Hypo 1",0.00761946981182637
"454","rpl32","IQTree","Hypo 2",0.00758705037108186
"229","petN","IQTree","Hypo 1",0.00754983443527076
"255","psaC","IQTree","Hypo 3",0.00747186723650789
"2","accD","RAxML","Hypo 2",0.007371114795832
"218","petL","RAxML","Hypo 2",0.00721110255092798
"75","clpP","RAxML","Hypo 3",0.00710211236182588
"598","rps8","IQTree","Hypo 2",0.00709459888459759
"219","petL","RAxML","Hypo 3",0.00709459888459759
"220","petL","RAxML","Hypo 4",0.00709459888459759
"230","petN","IQTree","Hypo 2",0.0070237691685685
"231","petN","IQTree","Hypo 3",0.0070237691685685
"232","petN","IQTree","Hypo 4",0.0070237691685685
"405","rpl14","IQTree","Hypo 1",0.00685492523664555
"554","rps19","RAxML","Hypo 2",0.00674709814167049
"555","rps19","RAxML","Hypo 3",0.00674709814167049
"556","rps19","RAxML","Hypo 4",0.00674709814167049
"217","petL","RAxML","Hypo 1",0.00650640709864771
"570","rps3","RAxML","Hypo 2",0.00650640709864771
"414","rpl16","IQTree","Hypo 2",0.00642910050732863
"415","rpl16","IQTree","Hypo 3",0.00642910050732863
"416","rpl16","IQTree","Hypo 4",0.00642910050732863
"274","psbA","RAxML","Hypo 2",0.00635085296108589
"285","psbB","IQTree","Hypo 1",0.00630661028868388
"594","rps8","RAxML","Hypo 2",0.00630581741991737
"461","rpl33","IQTree","Hypo 1",0.00626604606856137
"462","rpl33","IQTree","Hypo 2",0.00626604606856137
"546","rps18","RAxML","Hypo 2",0.0062449979983984
"547","rps18","RAxML","Hypo 3",0.0062449979983984
"548","rps18","RAxML","Hypo 4",0.0062449979983984
"265","psaJ","RAxML","Hypo 1",0.00614925469738678
"270","psaJ","IQTree","Hypo 2",0.00609289203361863
"275","psbA","RAxML","Hypo 3",0.00608276253029822
"276","psbA","RAxML","Hypo 4",0.00608276253029822
"410","rpl16","RAxML","Hypo 2",0.00608276253029821
"411","rpl16","RAxML","Hypo 3",0.00608276253029821
"412","rpl16","RAxML","Hypo 4",0.00608276253029821
"181","ndhK","IQTree","Hypo 1",0.00605832760201471
"34","atpF","RAxML","Hypo 2",0.00602771377334171
"8","accD","IQTree","Hypo 4",0.00598581656919087
"456","rpl32","IQTree","Hypo 4",0.00596465422300405
"7","accD","IQTree","Hypo 3",0.00587054795852426
"13","atpA","IQTree","Hypo 1",0.00568624070307733
"35","atpF","RAxML","Hypo 3",0.00568624070307733
"36","atpF","RAxML","Hypo 4",0.00568624070307733
"509","rps11","IQTree","Hypo 1",0.00568624070307733
"370","psbN","RAxML","Hypo 2",0.00562068797687021
"182","ndhK","IQTree","Hypo 2",0.0055770362499569
"183","ndhK","IQTree","Hypo 3",0.0055770362499569
"184","ndhK","IQTree","Hypo 4",0.0055770362499569
"195","petB","RAxML","Hypo 3",0.00556776436283001
"196","petB","RAxML","Hypo 4",0.00556776436283001
"14","atpA","IQTree","Hypo 2",0.00550757054728611
"422","rpl2","IQTree","Hypo 2",0.00550757054728611
"423","rpl2","IQTree","Hypo 3",0.00550757054728611
"424","rpl2","IQTree","Hypo 4",0.00550757054728611
"529","rps15","RAxML","Hypo 1",0.00529748367938339
"146","ndhG","RAxML","Hypo 2",0.00519615242270664
"147","ndhG","RAxML","Hypo 3",0.00519615242270664
"148","ndhG","RAxML","Hypo 4",0.00519615242270664
"614","ycf2","IQTree","Hypo 2",0.00519615242270664
"616","ycf2","IQTree","Hypo 4",0.00519615242270664
"223","petL","IQTree","Hypo 3",0.00514490038776262
"224","petL","IQTree","Hypo 4",0.00514490038776262
"550","rps18","IQTree","Hypo 2",0.00513160143944689
"551","rps18","IQTree","Hypo 3",0.00513160143944689
"552","rps18","IQTree","Hypo 4",0.00513160143944689
"277","psbA","IQTree","Hypo 1",0.00511598801145324
"426","rpl20","RAxML","Hypo 2",0.00510522608053094
"427","rpl20","RAxML","Hypo 3",0.00510522608053094
"428","rpl20","RAxML","Hypo 4",0.00510522608053094
"157","ndhH","IQTree","Hypo 1",0.00503322295684716
"403","rpl14","RAxML","Hypo 3",0.00502128801537348
"404","rpl14","RAxML","Hypo 4",0.00502128801537348
"187","petA","RAxML","Hypo 3",0.005
"188","petA","RAxML","Hypo 4",0.005
"530","rps15","RAxML","Hypo 2",0.00497024479611752
"531","rps15","RAxML","Hypo 3",0.00497024479611752
"532","rps15","RAxML","Hypo 4",0.00497024479611752
"408","rpl14","IQTree","Hypo 4",0.00485901224530254
"517","rps12","IQTree","Hypo 1",0.00476480149988783
"406","rpl14","IQTree","Hypo 2",0.0047056703383613
"407","rpl14","IQTree","Hypo 3",0.0047056703383613
"15","atpA","IQTree","Hypo 3",0.0046543886100468
"16","atpA","IQTree","Hypo 4",0.0046543886100468
"266","psaJ","RAxML","Hypo 2",0.00464901423242964
"267","psaJ","RAxML","Hypo 3",0.00464901423242964
"268","psaJ","RAxML","Hypo 4",0.00464901423242964
"615","ycf2","IQTree","Hypo 3",0.00461880215351701
"3","accD","RAxML","Hypo 3",0.00461302503786832
"4","accD","RAxML","Hypo 4",0.00461302503786832
"309","psbE","IQTree","Hypo 1",0.0045092497528229
"310","psbE","IQTree","Hypo 2",0.0045092497528229
"311","psbE","IQTree","Hypo 3",0.0045092497528229
"312","psbE","IQTree","Hypo 4",0.0045092497528229
"401","rpl14","RAxML","Hypo 1",0.00450037035513005
"171","ndhJ","RAxML","Hypo 3",0.00449592408002329
"172","ndhJ","RAxML","Hypo 4",0.00449592408002329
"170","ndhJ","RAxML","Hypo 2",0.00440151489073175
"421","rpl2","IQTree","Hypo 1",0.004366157731156
"1","accD","RAxML","Hypo 1",0.00435889894354068
"153","ndhH","RAxML","Hypo 1",0.00435889894354068
"563","rps2","RAxML","Hypo 3",0.00427707064862545
"564","rps2","RAxML","Hypo 4",0.00427707064862545
"155","ndhH","RAxML","Hypo 3",0.00421584313433664
"156","ndhH","RAxML","Hypo 4",0.00421584313433664
"126","ndhD","IQTree","Hypo 2",0.00417612260356422
