gene,hypoA_pylogeny,hypoB_pylogeny,hypoC_pylogeny,hypoA_iqtree,hypoB_iqtree,hypoC_iqtree,runtime_pylogeny,runtime_iqtree
psbA,0.055,0.381s,0.055,0.0611,0.3884s,0.0607,3.19781708717,3.49977588654
matK,0.428s,0.022*,0.347,0.0006*,0.0*,0.0038*s,4.56578993797,7.25236201286
rps16,0.922s,0.09,0.09,0.1242s,0.0861,0.0862,1.49879789352,6.9200899601
psbK,0.423,0.408s,0.408,0.4183,0.3809,0.3806s,1.41875982285,2.21743297577
psbI,0.275,0.186s,0.506,0.6064,0.5303s,0.0*,3.49840092659,0.989206075668
atpA,0.032*,0.801s,0.282,0.0415*,0.0*s,0.2783,4.95773911476,5.21011281013
atpF,0.065,0.926s,0.065,0.0677,0.0002*s,0.0674,2.3105430603,9.58033514023
atpH,0.36s,0.067,0.067,0.3469s,0.0704,0.0704,1.62842702866,2.00525689125
atpI,0.173,0.258,0.177s,0.1705,0.2569,0.1726s,2.78415608406,3.06481409073
rps2,0.061,0.138s,0.03*,0.0712,0.156s,0.0387*,2.71968698502,3.51768088341
rpoC2,0.258,0.001*s,0.25,0.2511,0.0*s,0.2639,13.3278329372,16.4631459713
rpoC1,0.344,0.566s,0.526,0.3703,0.0617s,0.4919,7.26421284676,8.00593304634
rpoB,0.22,0.643s,0.128,0.2049,0.0017*s,0.1395,9.17282009125,6.69685006142
petN,0.0*,0.0*,0.0*s,0.0*s,0.0*,0.0*,0.709614038467,0.337937116623
psbM,0.969s,0.001*,0.001*,0.0003*,0.0*s,0.0*,2.06703591347,0.496758937836
psbD,0.255s,0.382,0.119,0.0023*s,0.3548,0.124,3.57729387283,3.14629507065
psbC,0.197,0.51s,0.124,0.1957,0.4942s,0.141,4.59989881516,4.04213905334
psbZ,0.032*,0.056s,0.032*,0.0305*,0.0006*s,0.0305*,1.23593306541,1.5884552002
rps14,0.123,0.157,0.144s,0.0001*,0.0*,0.0*s,1.53979206085,2.17471599579
psaB,0.472,0.488,0.653s,0.4023,0.4202s,0.0*,6.72894597054,4.74018192291
psaA,0.423,0.739,0.267s,0.001*s,0.0009*,0.0015*,6.52264094353,4.80403995514
ycf3,0.096s,0.096,0.614,0.0842,0.0843,0.0001*s,2.81226491928,1.821860075
rps4,0.588s,0.338,0.338,0.001*s,0.3419,0.3409,2.40368700027,3.69985508919
ndhJ,0.326,0.163,0.864s,0.3201,0.1496,0.0*s,2.11348891258,3.39407110214
ndhK,0.318s,0.411,0.41,0.0055*s,0.4217,0.4241,3.05923104286,4.25191497803
ndhC,0.462,0.067,0.53s,0.4752,0.0618,0.8548s,1.90768694878,2.41104102135
atpE,0.01*,0.135s,0.01*,0.0099*,0.1409s,0.0097*,1.93405294418,3.81856799126
atpB,0.369,0.386,0.717s,0.3655,0.3696,0.0*s,5.16716098785,5.13455700874
rbcL,0.386,0.789s,0.308,0.3847,0.009*s,0.2992,4.72000694275,4.55565309525
accD,0.561s,0.176,0.337,0.0*s,0.1583,0.3488,6.76335406303,8.33238196373
psaI,3e-07*s,0.861,0.099,0.3725,0.4908,0.5431s,0.968878984451,1.95627903938
ycf4,0.349s,0.349,0.349,0.0021*,0.0*s,0.023*,2.50263905525,4.10433197021
cemA,0.674,0.107,0.683s,0.6862,0.1062,0.695s,2.61110186577,4.37642288208
petA,0.266,0.108,0.239s,0.2531,0.1176,0.2105s,3.59324502945,5.65609121323
psbJ,0.362,0.072s,0.072,0.3502s,0.0698,0.071,1.3457839489,1.79145002365
psbL,0.033*,0.033*,0.033*s,0.0341*,0.0341*,0.0341*s,1.14900112152,0.586460113525
psbF,0.031*s,1e-05*,1e-05*,0.0*,0.0013*s,0.0013*,1.63021492958,1.57480597496
psbE,0.017*,0.033*,0.033*s,0.0303*,0.0303*,0.0303*s,2.27594089508,1.7069709301
petL,0.049*s,0.049*,0.049*,0.0585,0.0002*s,0.0577,1.02277994156,1.0851559639
petG,0.089s,0.111,0.111,0.0006*s,0.0927,0.093,1.08576488495,1.18622207642
psaJ,0.122s,0.137,0.137,0.0323*s,0.008*,0.0084*,1.33184909821,3.24390506744
rpl33,0.278s,0.165,0.165,0.2974s,0.1743,0.175,1.62676095963,2.4985730648
rps18,0.483s,0.109,0.04*,0.4823s,0.1148,0.043*,1.79779601097,1.7856490612
rpl20,0.039*,2e-07*s,0.042*,0.0454*,0.0*s,0.0454*,1.71859383583,3.70683693886
psbB,0.899s,0.098,0.1,0.0001*s,0.0892,0.0892,5.38942503929,4.60201001167
psbT,0.973s,0.025*,0.025*,0.6105s,0.0214*,0.0218*,1.05488586426,1.60240983963
psbN,0.041*,0.04*,0.04*s,0.0401*,0.0542s,0.0406*,1.1121468544,1.16466093063
psbH,0.503,0.491,0.597s,0.4921,0.4786,0.051s,1.64813995361,3.00708818436
petB,0.307s,0.82,0.003*,0.0409*s,0.4057,0.4015,2.91063785553,2.62561488152
petD,0.158,0.37s,0.157,0.1644,0.364s,0.1652,2.84479904175,5.22423195839
rpoA,0.613,0.041*s,0.552,0.0014*,0.0007*s,0.0001*,4.29515004158,6.1421790123
rps11,0.319,0.608s,0.32,0.2381,0.5528s,0.2389,2.11519002914,3.71922087669
rpl36,0.224,0.032*s,0.927,0.0*,0.0001*,0.0017*s,1.13074707985,1.73230099678
infA,0.075,0.135s,0.013*,0.0834,0.1412s,0.01*,1.45914793015,3.20283603668
rps8,0.094,0.094,0.746s,0.0963,0.0945,0.1829s,2.03164315224,2.80684685707
rpl14,0.933s,0.074,1e-05*,0.0*s,0.0645,0.0652,1.64469695091,4.42542004585
rpl16,0.414s,0.388,0.082,0.0*s,0.4034,0.0425*,2.00299501419,3.88956403732
rps3,0.379,0.489,0.42s,0.4288,0.478,0.4535s,3.17176914215,4.34869289398
rpl22,0.429s,0.444,0.444,0.4334s,0.4529,0.4524,2.13600897789,4.804459095
rps19,0.253,0.305s,0.069,0.508,0.6913s,0.1421,1.81007099152,4.27831697464
rpl2,0.022*,3e-11*s,0.006*,0.1845,0.0036*s,0.0453*,2.87790083885,3.54118800163
rpl23,0.202,0.202s,0.202,0.0*,0.0*,0.0001*s,1.93670701981,0.652513980865
ycf2,0.569s,0.213,0.313,0.0004*s,0.2004,0.2889,21.7106499672,12.6851358414
ndhB,0.531s,0.227,0.226,0.0*s,0.221,0.2199,4.94202804565,2.29951095581
rps7,0.047*,0.047*,0.831s,0.0494*,0.0494*,0.0022*s,1.98048019409,1.34957909584
rps12,8e-07*,0.0001*s,8e-07*,0.0*,0.0*s,0.0*,1.65435814857,5.81398105621
ndhF,0.158s,0.249,0.249,0.0003*s,0.2461,0.2464,8.10514712334,11.4859831333
rpl32,0.257s,0.077,0.066,0.4726s,0.075,0.0758,1.58909702301,1.55834388733
ccsA,0.151,0.709s,0.287,0.1549,0.6866s,0.2815,3.84671783447,5.38855600357
ndhD,0.201,0.2,0.513s,0.184,0.1839,0.2874s,5.18733787537,7.15558314323
psaC,0.242s,0.021*,0.026*,0.2528s,0.0368*,0.0368*,1.69319009781,3.19149780273
ndhE,0.906s,0.13,0.13,0.0032*s,0.1234,0.1233,1.46795415878,3.17835998535
ndhG,0.133,0.041*s,0.245,0.0041*s,0.222,0.0034*,2.58826708794,4.67704105377
ndhI,0.091s,6e-07*,0.104,0.1008s,0.1008,0.1008,2.26739811897,4.2908539772
ndhA,0.207,0.808s,0.514,0.1938,0.0016*s,0.4831,4.46789002419,6.40490889549
ndhH,0.35s,0.241,0.102,0.0*s,0.2297,0.0987,4.21540594101,5.52257800102
rps15,0.87s,0.178,0.178,0.0535s,0.1862,0.187,1.60729503632,2.64769697189
ycf1,0.506s,0.23,0.112,0.474s,0.2394,0.1011,25.3738980293,73.0604860783
