gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC2_ge,0.293,0.31,0.294,21.903,54.577,55.831
ndhD_ge,0.066,0.0567,0.064,8.312,17.219,16.818
psbD_ge,2e-30,0.000362,2.01e-53,2.694,9.506,10.422
atpA_ge,0.098,0.0925,0.0868,7.839,15.709,15.751
atpH_ge,0.026,0.024,0.0236,0.783,1.968,3.057
rps15_ge,0.076,0.0794,0.078,1.743,2.947,2.847
rpl22_ge,0.009,0.0102,0.0115,2.73,6.418,7.292
ycf1_ge,0.136,0.131,0.134,41.93,225.752,192.163
rps8_ge,0.007,0.00929,0.0109,1.973,3.438,6.213
rpl36_ge,6e-05,3.43e-05,9.64e-05,0.526,1.537,2.076
ccsA_ge,0.11,0.103,0.0978,5.801,12.148,12.751
psaC_ge,0.0005,0.000111,0.0006,1.313,3.702,4.262
rpoB_ge,0.063,0.0714,0.0718,15.355,62.154,42.131
ndhA_ge,0.076,0.0884,0.0865,17.144,41.205,43.857
rps11_ge,0.032,0.0364,0.0252,2.637,8.539,7.371
psbF_ge,6e-123,1.86e-48,9.6e-28,0.947,0.949,1.66
psbH_ge,0.072,0.0732,0.0706,0.95,2.491,4.166
rpl14_ge,0.013,0.0139,0.0168,1.678,6.304,4.442
rpl33_ge,0.002,0.00246,0.00238,1.323,4.603,3.647
ndhG_ge,0.041,0.0448,0.0437,2.859,7.962,8.109
psaJ_ge,9e-05,0.015,0.0121,0.757,0.889,1.181
cemA_ge,0,0.146,0.135,0.006,13.073,11.651
petB_ge,0.073,0.0732,0.0808,11.679,18.629,27.739
accD_ge,0.131,0.116,0.126,17.869,33.324,35.024
rps12_ge,0.007,0.00691,0.0062,5.363,8.698,10.853
rpl32_ge,0.095,0.0894,0.0907,1.758,5.652,4.916
atpF_ge,0.004,0.00343,0.00356,9.412,30.99,31.028
clpP_ge,0.158,0.149,0.162,17.348,51.833,62.185
atpB_ge,0.04,0.0368,0.0329,5.769,19.304,18.941
rpoA_ge,0.032,0.0368,0.0269,5.393,16.59,20.883
petG_ge,3e-11,2.68e-06,9e-07,0.656,1.925,2.357
rpoC1_ge,0.034,0.0318,0.0336,14.06,61.398,54.866
petL_ge,0.001,0.00164,0.00133,0.428,2.615,2.731
psbC_ge,0.013,0.0142,0.0135,4.664,13.784,13.501
psbE_ge,0.001,0.000987,0.000346,1.411,3.123,3.741
psbT_ge,0.001,0.000568,0.000985,0.713,2.923,3.293
psbL_ge,0.001,0.00137,0.000923,0.583,2.378,1.732
ndhC_ge,0.034,0.0225,0.0256,1.51,3.781,4.878
rbcL_ge,0.002,0.00196,0.00336,5.487,13.14,11.93
psbN_ge,0.003,0.00278,0.00312,0.823,2.138,2.05
ndhJ_ge,0.002,0.00229,0.00228,2.272,4.597,5.807
psbI_ge,0.0002,0.000152,0.000434,0.577,2.375,2.043
rps14_ge,0.041,0.0348,0.0336,1.466,3.775,3.769
ndhI_ge,0.032,0.0336,0.0266,2.629,5.993,7.205
psbZ_ge,0.003,0.00247,0.00279,0.96,2.267,1.656
petD_ge,0.32,0.333,0.328,7.732,22.788,24.982
psaI_ge,0.002,0.00171,0.00475,0.761,2.017,1.904
psbM_ge,0.0003,0.00102,0.000591,0.606,2.164,1.793
petN_ge,0.0001,0.000252,9.76e-05,0.399,1.016,1.101
ycf3_ge,0.021,0.0227,0.0266,10.009,56.147,52.746
psaA_ge,0.139,0.155,0.147,6.544,24.446,22.094
rps16_ge,0.063,0.0763,0.0862,8.651,49.924,45.371
ndhH_ge,0.068,0.0817,0.0763,4.071,10.36,17.295
atpE_ge,0.118,0.113,0.114,2.085,5.211,7.014
rps3_ge,0.233,0.224,0.228,4.433,10.494,12.853
petA_ge,0.025,0.0254,0.0246,3.984,11.728,11.982
rpl23_ge,0.009,0.0117,0.00896,2.018,7.156,9.391
atpI_ge,0.055,0.0583,0.065,3.383,10.046,10.381
ndhE_ge,0.01,0.0091,0.00979,1.682,4.082,3.997
rpl20_ge,0.013,0.0121,0.0128,2.344,5.059,5.174
psbB_ge,0.179,0.197,0.182,6.147,14.138,18.232
rps18_ge,0.053,0.0578,0.0598,4.585,14.396,15.386
rps4_ge,0.021,0.0223,0.0208,3.376,11.296,10.684
matK_ge,0.021,0.0221,0.0193,8.56,20.694,27.431
ndhB_ge,0.015,0.0162,0.0189,11.752,30.954,36.821
psbJ_ge,2e-07,4.96e-05,1.6e-07,0.772,3.707,4.187
rpl2_ge,0.076,0.0703,0.0601,5.923,19.621,20.756
psbK_ge,0.185,0.194,0.194,1.022,3.239,3.015
rpl16_ge,0.056,0.0568,0.0547,11.337,25.414,30.599
rps19_ge,0.013,0.011,0.0104,2.723,7.936,10.606
psaB_ge,0.097,0.102,0.106,9.161,21.356,27.087
ndhK_ge,0.249,0.236,0.255,3.133,8.529,8.139
ycf2_ge,0.016,0.0124,0.0127,28.275,390.405,325.168
psbA_ge,0.058,0.0461,0.0579,4.473,14.727,12.259
rps2_ge,0.055,0.0571,0.0522,3.663,11.38,13.633
rps7_ge,0.016,0.0136,0.0119,3.226,7.812,6.732
ndhF_ge,0.09,0.0915,0.0868,9.454,33.834,35.167
ycf4_ge,0.02,0.0224,0.0288,2.477,6.463,5.039
