gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rps14,0.061,0.0566,0.0852,0.002,0.0232,0.0852,0.061,0.0575,0.0852,0.061,0.0575,0.0852,2.206,2.852,3.094
psaA,0.051,0.0508,0.056,0.051,0.0517,0.0564,0.004,0.00602,0.00423,0.004,0.0157,0.0166,9.667,24.675,22.937
ndhG,0.032,0.0245,0.0304,0.113,0.11,0.116,0.113,0.11,0.116,0.113,0.11,0.116,2.429,5.309,5.257
concatenated_125spp,5e-07,4.36e-06,2.45e-05,0.48,0.474,0.486,0.568,0.635,0.623,0.568,0.635,0.623,355.086,2699.804,2456.629
petL,0.01,0.0121,0.015,0.01,0.00572,0.0062,0.043,0.049,0.0508,0.043,0.049,0.0508,0.518,0.634,0.804
rps11,0.127,0.137,0.133,0.004,0.14,0.132,0.004,0.14,0.132,0.004,0.14,0.132,1.415,2.084,2.795
cemA,8e-05,2.04e-05,1.88e-05,0.0003,0.00052,3.28e-05,0.0003,0.000526,2.42e-05,0.0003,0.000526,2.42e-05,2.918,5.54,5.855
psaC,0.067,0.0698,0.0682,0.022,0.0685,0.00114,0.022,0.0394,0.0132,0.022,0.0293,0.0101,1.942,3.915,4.237
rps18,0.031,0.175,0.164,0.198,0.203,0.193,0.198,0.0656,0.193,0.198,0.203,0.193,2.302,2.674,2.568
petB,0.007,0.00471,0.00535,0.139,0.134,0.146,0.139,0.134,0.146,0.139,0.134,0.146,9.372,25.662,29.675
rpl22,0.004,0.00547,0.00565,0.005,0.00566,0.0058,0.005,0.00566,0.0058,0.005,0.00566,0.0058,3.363,4.927,4.578
rps7,0.032,0.0318,0.0311,0.032,0.0318,0.0311,0.032,0.0318,0.0311,0.032,0.0318,0.0311,3.262,1.088,0.933
ndhJ,0.008,0.00502,0.00454,0.032,0.0307,0.03,0.032,0.0307,0.0299,0.032,0.0307,0.0299,2.217,5.006,4.596
