gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rps14,0.131,0.142,0.138,0.131,0.141,0.138,0.131,0.141,0.138,0.131,0.141,0.138,2.191,2.979,2.958
psaA,0.046,0.0564,0.0553,0.046,0.0564,0.0553,0.046,0.0564,0.0553,0.046,0.0564,0.0553,11.669,24.038,28.254
ndhG,0.027,0.0278,0.0318,0.106,0.102,0.103,0.106,0.103,0.103,0.106,0.103,0.103,3.289,5.179,5.05
concatenated_125spp,2e-05,4.94e-14,6.34e-09,0.479,0.465,0.488,0.57,0.585,0.563,0.57,0.585,0.563,327.276,2098.437,2318.846
petL,0.111,0.0998,0.101,0.112,0.101,0.101,0.112,0.102,0.1,0.112,0.102,0.1,0.515,0.922,1.133
rps11,0.101,0.134,0.134,0.101,0.135,0.134,0.101,0.136,0.135,0.101,0.136,0.135,2.698,2.837,3.123
cemA,3e-05,0.000288,0.000393,0.0003,0.000918,0.000545,0.0003,0.000822,0.000722,0.0003,0.000822,0.000722,3.931,5.271,4.934
psaC,0.082,0.0229,0.0307,0.082,0.00152,0.0824,0.082,0.0704,0.0831,0.082,0.0704,0.0831,1.752,3.688,3.941
rps18,0.187,0.000148,6.7e-60,0.187,0.19,0.184,0.187,0.148,0.184,0.187,0.203,0.184,2.076,2.541,2.762
petB,0.006,0.00508,0.00531,0.148,0.137,0.137,0.148,0.137,0.137,0.148,0.131,0.136,8.457,24.874,26.466
rpl22,0.002,0.00704,0.00508,0.004,0.00677,0.00505,0.004,0.00677,0.00366,0.004,0.00677,0.00387,3.068,4.623,4.317
rps7,0.008,0.0322,0.0332,0.008,0.0322,0.0332,0.008,0.0322,0.0332,0.008,0.0322,0.0332,2.994,1.028,0.991
ndhJ,0.009,0.0108,0.00579,0.066,0.0712,0.0649,0.066,0.0712,0.0649,0.066,0.0712,0.0649,2.198,4.562,4.701
psbA,0.012,0.0113,0.013,0.121,0.136,0.133,0.121,0.136,0.133,0.121,0.136,0.133,4.45,9.813,9.683
rpl32,0.019,0.0141,0.00718,0.019,0.0145,0.0144,0.019,0.0142,0.0144,0.019,0.0142,0.0144,1.313,2.846,3.0
ndhH,0.148,0.149,0.149,0.033,0.0442,0.0349,0.033,0.0442,0.0342,0.033,0.0442,0.0342,6.912,11.299,10.39
rbcL,0.032,0.0274,0.0287,0.006,0.00548,0.00419,0.006,0.00556,0.00395,0.006,0.00556,0.00395,8.272,14.427,15.379
matK,0.017,0.019,0.0167,0.214,0.247,0.223,0.214,0.247,0.223,0.214,0.247,0.223,8.899,25.276,28.33
rpl2,0.015,0.0149,0.0107,0.133,0.132,0.122,0.133,0.132,0.122,0.133,0.132,0.122,8.66,5.014,4.921
