gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3
psbT,0.005*,0.0041*,0.00704*,0.005*,0.00387*,0.00753*,0.001*s,0.00392*s,0.00751*s,0.001*,0.00392*,0.00751*
atpH,0.006*,0.0068*,0.00671*,0.006*,0.0068*,0.00671*,0.011*s,0.00903*s,0.01*s,0.011*,0.00903*,0.01*
rpoB,0.029*,0.0244*,0.0239*,0.254s,0.263s,0.274s,0.254,0.26300000000000001,0.27600000000000002,0.254,0.26300000000000001,0.27600000000000002
psbH,0.22800000000000001,0.20300000000000001,0.218,0.216,0.20300000000000001,0.218,0.216s,0.203s,0.218s,0.216,0.20300000000000001,0.218
psaJ,0.045*,0.0562,0.055,0.04*s,0.047*s,0.0488*s,0.04*,0.047*,0.0488*,0.04*,0.047*,0.0488*
psbM,0.005*,0.00801*,0.00713*,0.004*s,0.00497*s,0.00715*s,0.004*,0.00497*,0.00715*,0.004*,0.00497*,0.00715*
rpoC2,0.0003*,0.000932*,0.00118*,0.004*s,0.00166*s,0.0035*s,0.004*,0.00166*,0.0035*,0.004*,0.00166*,0.0035*
ndhB,0.001*,0.00349*,0.00369*,0.01*s,0.0116*s,0.0129*s,0.01*,0.0116*,0.0128*,0.01*,0.0116*,0.0128*
rpoA,0.005*,0.00455*,0.00561*,0.027*,0.0223*,0.0267*,0.027*s,0.0223*s,0.0268*s,0.027*,0.0223*,0.0268*
rps15,0.066000000000000003,0.063,0.073300000000000004,0.065s,0.0631s,0.0725s,0.065000000000000002,0.063100000000000003,0.072499999999999995,0.065000000000000002,0.063100000000000003,0.072499999999999995
petB,0.005*,0.00703*,0.0084*,0.141s,0.145s,0.124s,0.14099999999999999,0.14499999999999999,0.13400000000000001,0.14099999999999999,0.14499999999999999,0.13400000000000001
ycf2,0.012*,0.0146*,0.0144*,0.391s,0.408s,0.403s,0.39100000000000001,0.40799999999999997,0.40300000000000002,0.39100000000000001,0.40799999999999997,0.40300000000000002
rps2,0.03*,0.0237*,0.0233*,0.03*,0.0238*,0.0235*,0.031*s,0.0238*s,0.0234*s,0.031*,0.0238*,0.0234*
rps3,0.265s,0.27s,0.255s,0.114,0.108,0.10100000000000001,1e-74*,0.108,0.10100000000000001,1e-74*,0.108,0.10100000000000001
rps14,0.137s,0.138s,0.135s,0.004*,0.13800000000000001,0.13500000000000001,0.13700000000000001,0.13800000000000001,0.13500000000000001,0.13700000000000001,0.13800000000000001,0.13500000000000001
ndhJ,0.011*,0.0098*,0.00846*,0.070999999999999994,0.066400000000000001,0.062199999999999998,0.071s,0.065s,0.0622s,0.070999999999999994,0.065000000000000002,0.062199999999999998
rps19,0.003*,0.00542*,0.00347*,0.009*,0.0218*,0.0117*,0.009*s,0.0218*s,0.0117*s,0.009*,0.0218*,0.0117*
cemA,0.0003*,0.000243*,0.000133*,0.001*s,0.000834*s,0.000246*s,0.001*,0.000803*,0.000242*,0.001*,0.000803*,0.000242*
rpl20,0.021*,0.0222*,0.0167*,0.048*s,0.047*s,0.0387*s,0.048*,0.047*,0.0387*,0.048*,0.047*,0.0387*
psaI,0.001*,0.00357*,0.00222*,0.001*,0.00357*,0.00221*,0.001*s,0.00529*s,0.00291*s,0.001*,0.00529*,0.00291*
ndhD,0.002*,0.00343*,0.00072*,0.012*s,0.0171*s,0.0137*s,5e-38*,0.0175*,0.0137*,5e-38*,0.0175*,0.0137*
atpF,0.302s,0.197s,0.301s,0.27500000000000002,0.28000000000000003,0.26800000000000002,0.27600000000000002,0.27900000000000003,0.26800000000000002,0.27600000000000002,0.27900000000000003,0.26800000000000002
rbcL,0.034*s,0.0354*s,0.0297*s,0.007*,0.00704*,0.00387*,0.007*,0.00669*,0.00366*,0.007*,0.00669*,0.00366*
matK,0.015*,0.0183*,0.0184*,0.241s,0.23s,0.218s,0.24099999999999999,0.22900000000000001,0.218,0.24099999999999999,0.22900000000000001,0.218
atpB,0.009*,0.0386*,0.0431*,0.009*s,0.0384*s,0.0426*s,0.009*,0.0383*,0.0425*,0.009*,0.0383*,0.0425*
atpI,0.070999999999999994,0.077600000000000002,0.0717,0.353s,0.375s,0.36s,0.35299999999999998,0.375,0.35999999999999999,0.35299999999999998,0.375,0.35999999999999999
psbD,0.02*,0.0174*,0.0223*,0.019*,0.0171*,0.0221*,0.019*s,0.0171*s,0.0217*s,0.019*,0.0171*,0.0217*
atpE,0.34000000000000002,0.000154*,0.38500000000000001,0.393s,0.19s,0.182s,0.39300000000000002,0.39000000000000001,0.38500000000000001,0.39300000000000002,0.39000000000000001,0.38500000000000001
psaA,0.054s,0.0542s,0.0605s,0.053999999999999999,0.054199999999999998,0.060499999999999998,0.053999999999999999,0.055,0.061199999999999997,0.053999999999999999,0.055,0.061199999999999997
petL,0.097000000000000003,0.10299999999999999,0.11,0.096000000000000002,0.106,0.11,0.096s,0.105s,0.11s,0.096000000000000002,0.105,0.11
psbK,7e-61*,1.05e-06*,4.89e-13*,3e-52*,1.07e-06*,4.93e-13*,3e-52*s,4.07e-05*s,2.85e-11*s,3e-52*,4.07e-05*,1.88e-14*
psbI,7e-05*s,0.00116*s,0.00107*s,6e-05*,0.00116*,0.000982*,6e-05*,0.00116*,0.000982*,6e-05*,0.00116*,0.000982*
rpl32,0.017*,0.0138*,0.0192*,0.017*s,0.0137*s,0.0192*s,0.017*,0.0142*,0.0199*,0.017*,0.0142*,0.0199*
concatenated_125spp,1e-05*,3.49e-06*,1.82e-05*,0.48099999999999998,0.48499999999999999,0.48599999999999999,0.143s,0.583s,0.577s,0.14299999999999999,0.58299999999999996,0.57699999999999996
psbJ,4e-05*,4.88e-07*,6.6e-05*,4e-05*s,4.72e-07*s,6.54e-05*s,4e-05*,4.76e-07*,6.55e-05*,4e-05*,4.76e-07*,6.55e-05*
rps11,0.098s,0.135s,0.139s,0.099000000000000005,0.13500000000000001,0.14099999999999999,0.099000000000000005,0.13400000000000001,0.14000000000000001,0.099000000000000005,0.13400000000000001,0.14000000000000001
psbZ,0.039*s,0.0322*s,0.0356*s,0.042*,5.39e-05*,3.09e-05*,0.042*,0.0318*,3.09e-05*,0.042*,0.0318*,0.0139*
ycf3,0.022*s,0.0209*s,0.0266*s,0.022*,0.021*,0.027*,0.022*,0.0211*,0.027*,0.022*,0.0211*,0.027*
atpA,0.045*,0.14299999999999999,0.158,0.165s,0.144s,0.158s,0.086999999999999994,0.069199999999999998,0.075200000000000003,0.086999999999999994,0.069199999999999998,0.075200000000000003
ndhC,0.04*s,0.0719s,0.0721s,0.033*,0.059499999999999997,0.056500000000000002,0.033*,0.059400000000000001,0.056599999999999998,0.033*,0.059400000000000001,0.056599999999999998
rpl33,0.055,0.052699999999999997,0.0112*,0.055,0.051799999999999999,0.055500000000000001,0.055s,0.0525s,0.0548s,0.055,0.052499999999999998,0.054800000000000001
ccsA,9e-11*,4.85e-05*,1.91e-10*,9e-06*s,6.85e-05*s,3.12e-05*s,9e-06*,6.85e-05*,3.12e-05*,9e-06*,6.85e-05*,3.12e-05*
rps8,0.063s,0.0829s,0.073s,0.070000000000000007,0.074800000000000005,0.062300000000000001,0.019*,0.0207*,0.0194*,0.019*,0.0207*,0.0194*
psbN,0.019*s,0.0183*s,0.0207*s,0.019*,0.00998*,0.0203*,0.019*,0.0176*,0.0203*,0.019*,0.0134*,0.0203*
ndhE,0.003*,0.00225*,0.000904*,0.001*,0.00268*,0.00244*,0.001*s,0.00268*s,0.00244*s,0.001*,0.00268*,0.00244*
petD,0.003*,0.00295*,0.00264*,0.024*s,0.0227*s,0.0244*s,0.024*,0.0227*,0.0244*,0.024*,0.0227*,0.0244*
petA,0.003*,0.00283*,0.00225*,0.04*,0.0369*,0.0399*,0.12s,0.115s,0.125s,0.12,0.115,0.125
clpP,0.001*,0.00109*,0.00032*,0.053s,0.0466*s,0.0496*s,0.047*,0.0348*,0.0346*,0.047*,0.0257*,0.0372*
ndhG,0.026*,0.0285*,0.028*,0.103s,0.112s,0.103s,0.10299999999999999,0.112,0.10299999999999999,0.10299999999999999,0.112,0.10299999999999999
psaB,0.015*,0.0451*,0.0419*,0.044*,0.0454*,0.0414*,0.044*s,0.0456*s,0.042*s,0.044*,0.0456*,0.042*
psbA,0.011*,0.00845*,0.0103*,0.139s,0.139s,0.128s,0.13900000000000001,0.13800000000000001,0.128,0.13900000000000001,0.13800000000000001,0.128
psbC,0.023*,0.028*,0.028*,0.52800000000000002,0.50800000000000001,0.52700000000000002,0.528s,0.508s,0.527s,0.52800000000000002,0.50800000000000001,0.52700000000000002
rpl2,0.014*,0.0121*,0.0115*,0.124,0.124,0.124,0.124s,0.124s,0.124s,0.124,0.124,0.124
psaC,0.09s,0.0732s,0.028*s,0.089999999999999997,3.78e-05*,2.32e-07*,0.089999999999999997,0.073099999999999998,0.067599999999999993,0.089999999999999997,0.073099999999999998,0.067599999999999993
psbL,0.001*,0.00223*,0.00218*,0.001*,0.00219*,0.00222*,0.001*s,0.00222*s,0.00219*s,0.001*,0.00222*,0.00219*
accD,0.157s,0.15s,0.158s,0.16300000000000001,0.14899999999999999,0.16,0.048*,0.044*,0.0388*,0.048*,0.044*,0.0388*
petN,0.224,0.436,0.42799999999999999,0.224,0.436,0.42799999999999999,0.224s,0.436s,0.428s,0.224,0.436,0.42799999999999999
rpl36,0.03*s,0.0343*s,0.0356*s,0.003*,8.15e-05*,0.00555*,0.003*,0.00493*,0.00566*,0.003*,0.00493*,0.00566*
ycf4,0.004*,0.00363*,0.00329*,0.019*,0.0133*,0.0147*,0.019*s,0.0133*s,0.0148*s,0.019*,0.0133*,0.0148*
ndhK,0.062s,0.0589s,0.0573s,0.062,0.058099999999999999,0.057000000000000002,0.062,0.058099999999999999,0.057000000000000002,0.062,0.058099999999999999,0.057000000000000002
