gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA_ex,0.13,0.123,0.11,3.223,7.808,7.98
rps2_ex,0.065,0.0697,0.0696,2.883,11.649,15.672
rps4_ex,0.024,0.0259,0.028,3.808,9.792,9.628
rps14_ex,0.051,0.0608,0.0609,1.601,5.208,7.021
ndhB_ex,0.085,0.0913,0.0879,7.919,21.71,19.723
psaJ_ex,1e-16,0.00117,0.00358,0.89,7.014,7.13
petG_ex,4e-10,1.33e-06,1.52e-13,0.886,2.573,2.551
petN_ex,0.001,0.000938,0.000614,0.504,1.475,1.052
clpP_ex,0.002,0.000646,0.00134,3.16,9.892,9.389
rps12_ex,0.01,0.0121,0.0102,1.161,3.896,3.703
psbL_ex,0.004,0.00289,0.00371,0.486,0.638,0.739
ndhC_ex,0.014,0.0129,0.0148,1.263,5.153,4.868
psbJ_ex,4e-07,0.000253,7.92e-10,0.832,3.042,3.241
psbC_ex,0.014,0.0148,0.0167,5.551,14.454,14.648
psaA_ex,0.253,0.263,0.261,13.37,24.476,27.033
psbT_ex,0.0005,0.00039,0.000245,0.733,3.664,3.517
atpH_ex,0.012,0.0129,0.0157,1.49,4.363,4.069
rpl36_ex,0.001,0.000552,0.00153,0.462,1.352,2.176
psbE_ex,0.001,0.000975,0.000405,1.162,2.76,2.381
psbZ_ex,0.002,0.000663,0.00171,0.664,1.287,1.847
ycf1_auto_ex,0.131,0.112,0.113,51.569,189.284,164.252
psbD_ex,6e-07,8.83e-05,7.87e-65,3.731,9.512,10.083
ccsA_ex,0.086,0.0806,0.092,5.036,8.037,7.205
psaC_ex,0.003,0.00235,0.00209,0.755,2.257,2.253
atpA_ex,0.079,0.0783,0.0826,3.827,13.835,16.205
ndhF_ex,0.018,0.0193,0.016,15.04,26.286,26.364
psbB_ex,0.235,0.215,0.236,5.586,13.934,13.2
accD_ex,0.088,0.101,0.0948,22.404,30.028,26.794
rps18_ex,0.076,0.0902,0.0748,4.297,14.054,12.285
rpl2_ex,0.145,0.152,0.15,3.284,8.767,7.755
psbN_ex,0.005,0.00944,0.00524,0.895,1.996,2.084
ndhG_ex,0.039,0.0374,0.039,3.176,6.416,6.782
atpI_ex,0.095,0.105,0.102,3.044,9.567,8.575
psbK_ex,0.184,0.19,0.188,1.173,2.964,3.153
rpl20_ex,0.009,0.00811,0.0107,3.13,5.623,6.981
ndhJ_ex,0.002,0.00027,0.000617,2.735,5.729,6.152
petD_ex,0.023,0.0257,0.0244,3.196,6.418,6.131
rpl23_ex,0.025,0.0192,0.0197,1.644,6.724,8.209
psbI_ex,0.001,3.86e-05,0.000136,0.609,2.539,2.286
ycf2_auto_ex,0.02,0.0198,0.0204,36.971,278.646,256.584
rps7_ex,0.021,0.0189,0.0177,2.297,5.783,4.564
rbcL_ex,0.002,0.0029,0.00434,5.414,10.799,11.497
rps19_ex,0.018,0.0138,0.0151,1.815,6.507,8.55
petL_ex,0.002,0.00188,0.00053,0.66,2.667,2.591
ndhK_ex,0.322,0.321,0.325,2.72,7.962,5.654
psbM_ex,2e-16,2.28e-08,5.25e-07,0.47,1.816,2.2
ycf3_ex,0.161,0.165,0.155,2.069,6.91,7.866
rps16_ex,0.064,0.0681,0.0646,1.827,5.301,5.46
rps11_ex,0.031,0.0304,0.0314,2.48,4.216,5.648
rps15_ex,0.086,0.0795,0.0725,1.408,3.533,3.466
petA_ex,0.029,0.0381,0.0373,4.622,11.218,9.583
rpoB_ex,0.176,0.175,0.187,12.543,40.437,33.782
ndhI_ex,0.059,0.0576,0.0613,2.136,4.839,4.681
rpl22_ex,0.018,0.0163,0.0157,3.797,6.816,5.936
psaI_ex,0.0003,0.00045,0.000814,0.717,2.291,2.449
rpoA_ex,0.028,0.0247,0.0243,6.435,15.749,16.143
psbF_ex,5e-07,2.49e-73,0.000198,0.843,1.039,1.224
rps8_ex,0.018,0.0161,0.014,1.667,4.605,4.929
atpB_ex,0.059,0.0621,0.0627,5.337,15.671,12.404
ycf4_ex,0.012,0.00665,0.0107,2.134,6.464,5.663
petB_ex,0.056,0.0573,0.0544,2.412,6.86,6.37
rpl32_ex,0,0.00493,0.00438,0.006,4.153,3.406
atpE_ex,0.093,0.0991,0.0809,1.268,4.711,3.971
atpF_ex,0.031,0.0304,0.0312,2.073,5.64,5.301
rpl14_ex,0.027,0.0227,0.0219,1.077,3.091,3.764
matK_ex,0.008,0.00863,0.00702,9.975,18.306,19.184
ndhD_ex,0.06,0.0528,0.055,6.712,13.981,11.472
ndhA_ex,0.025,0.0239,0.0321,2.639,6.924,7.899
rpoC2_ex,0.233,0.229,0.245,10.714,28.626,36.352
rpl33_ex,0.001,0.00166,0.00229,0.677,1.966,1.945
psbH_ex,0.047,0.0468,0.0456,0.649,1.632,1.828
cemA_ex,0,0.177,0.18,0.005,5.149,4.634
ndhE_ex,0.007,0.0106,0.00895,0.753,1.843,1.922
rpl16_ex,0.036,0.0311,0.0294,1.1,2.548,2.278
psaB_ex,0.135,0.134,0.133,4.804,12.814,12.838
ndhH_ex,0.112,0.111,0.104,2.718,7.116,5.881
rpoC1_ex,0.179,0.182,0.175,5.356,14.144,17.028
rps3_ex,0.233,0.239,0.22,2.331,5.169,5.315
