gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.023,0.028,0.0225,1.159,2.641,2.151
ndhB_cd,0,0.0368,0.0403,0.006,13.611,13.489
ndhA_cd,0.049,0.0495,0.047,4.05,11.436,14.541
psbK_cd,0.147,0.15,0.142,1.111,3.156,2.911
rps16_cd,0.043,0.0397,0.046,1.382,4.698,4.117
ndhG_cd,0.043,0.0398,0.0404,1.992,4.692,4.156
rps18_cd,0.09,0.0889,0.101,3.895,14.116,15.391
ndhI_cd,0.023,0.0199,0.0227,3.098,7.56,5.677
atpH_cd,0.006,0.00339,0.00597,1.498,3.182,3.17
psbZ_cd,0.006,0.00811,0.00834,0.746,2.265,2.518
ndhJ_cd,0.002,0.00152,0.00123,1.794,4.859,9.824
rpoC1_cd,0.108,0.113,0.118,11.107,25.994,31.104
psbH_cd,0.139,0.13,0.131,1.124,4.101,5.102
petN_cd,0.001,0.000809,0.00159,0.636,1.315,0.866
rps4_cd,0.024,0.0248,0.0227,2.873,9.999,7.94
rpl36_cd,3e-06,9.02e-08,2.99e-08,0.462,1.263,1.562
rbcL_cd,0.011,0.00947,0.00953,5.935,13.153,9.395
psbE_cd,0.001,0.00241,0.00116,1.652,4.021,3.576
psbC_cd,0.014,0.0133,0.0141,6.912,14.714,10.333
psbJ_cd,4e-06,5.95e-07,7.3e-12,0.638,2.366,2.172
rpl2_cd,0.193,0.191,0.182,3.958,10.4,11.75
matK_cd,0.013,0.0164,0.0123,6.861,17.492,21.556
clpP_cd,0.002,0.00287,0.00306,3.52,8.008,8.561
rpl22_cd,0.004,0.00435,0.00352,3.129,6.817,9.871
rps19_cd,0.02,0.0213,0.0229,2.168,8.205,15.152
rps7_cd,0.015,0.01,0.0152,3.036,8.872,5.866
psaC_cd,0.003,0.00169,0.00141,1.082,3.323,3.637
psbL_cd,5e-05,0.000289,2.4e-05,0.631,3.248,2.901
ndhF_cd,0.035,0.0322,0.0306,13.667,28.642,23.17
psaA_cd,0.225,0.226,0.245,10.886,18.769,16.466
rps11_cd,0.024,0.0254,0.0242,1.372,4.022,3.852
rpoA_cd,0.01,0.0115,0.0134,3.18,11.873,11.231
ndhC_cd,0.018,0.0242,0.0182,1.084,3.061,3.34
psbI_cd,0.0001,0.000176,0.000636,0.446,1.339,1.395
rps2_cd,0,0.0525,0.0572,0.005,9.62,11.621
ycf1_cd,0.205,0.219,0.213,55.098,171.244,123.358
psbM_cd,0.0002,0.000551,0.00239,0.466,1.591,1.904
petD_cd,0.028,0.0269,0.0254,1.985,5.172,4.786
rpl16_cd,0.035,0.0301,0.0327,2.406,4.245,4.236
atpA_cd,0.083,0.0883,0.0844,7.939,17.636,15.988
rps3_cd,0.21,0.203,0.199,3.633,7.958,8.053
rpl20_cd,0.015,0.0148,0.0158,3.131,6.788,7.609
rpl23_cd,0.015,0.0124,0.0112,1.584,6.897,7.216
rpoC2_cd,0,0.284,0.271,0.008,57.657,54.887
ycf4_cd,0.029,0.0319,0.0325,2.722,6.45,6.327
ycf3_cd,0,0.173,0.164,0.005,5.343,5.395
rpl14_cd,0.021,0.0223,0.0195,1.496,4.332,3.819
petG_cd,1e-05,2.75e-69,6.2e-08,0.667,1.29,1.214
cemA_cd,0.175,0.157,0.162,2.411,7.341,9.34
psbB_cd,0.24,0.233,0.22,5.087,12.668,11.167
rps8_cd,0.009,0.00863,0.0116,1.239,3.144,3.951
psaJ_cd,7e-05,0.00201,0.00149,0.778,3.28,3.954
rps12_cd,0.009,0.0112,0.0088,1.569,3.64,3.238
atpE_cd,0.062,0.0621,0.0729,2.441,5.666,5.707
psbT_cd,0.0004,0.000456,0.000655,0.723,2.277,1.775
psbA_cd,0.038,0.0312,0.0376,3.139,9.873,9.831
petB_cd,0.088,0.0825,0.0854,2.468,7.045,7.032
psaI_cd,0.007,0.00392,0.00371,0.467,1.595,2.606
psaB_cd,0.124,0.137,0.145,8.857,19.492,19.387
psbD_cd,5e-59,1.72e-62,2.73e-50,5.296,10.172,9.266
ndhK_cd,0.302,0.295,0.297,2.593,7.02,7.688
atpI_cd,0.078,0.0802,0.08,2.884,9.363,9.782
ccsA_cd,0.116,0.123,0.121,4.206,9.096,7.606
psbN_cd,0.005,0.00597,0.00909,0.486,1.392,2.12
petA_cd,0.025,0.0294,0.027,3.943,10.323,9.649
psbF_cd,3e-09,5.91e-06,6.08e-07,0.791,0.981,0.995
rpl33_cd,0.0003,0.00124,0.00189,1.104,3.402,2.755
rpl32_cd,3e-05,0.000131,6.59e-05,1.818,3.624,3.888
atpB_cd,0.05,0.0524,0.0522,7.612,18.883,18.431
rpoB_cd,0.056,0.0616,0.0551,12.459,40.74,33.354
rps14_cd,0.093,0.0865,0.0958,1.343,3.746,3.438
ndhD_cd,0,0.0487,0.0602,0.005,16.44,14.615
accD_cd,0.006,0.00387,0.0075,18.124,31.318,27.417
petL_cd,0.002,0.00109,0.00188,0.544,2.545,3.063
ndhH_cd,0,0.113,0.107,0.006,11.823,12.69
atpF_cd,0.041,0.0429,0.0381,2.355,6.597,6.585
rps15_cd,0.147,0.139,0.143,1.368,3.322,3.124
ycf2_cd,0,0.0729,0.0894,0.009,281.176,237.94
