gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.023,0.0235,0.025,1.794,3.619,2.964
ndhB_cd,0,0.0454,0.0405,0.013,15.891,15.439
ndhA_cd,0.051,0.0462,0.0432,5.54,10.91,12.135
psbK_cd,0.153,0.155,0.149,1.138,2.723,2.342
rps16_cd,0.04,0.0472,0.0409,1.387,2.662,3.34
ndhG_cd,0.04,0.0399,0.0378,2.28,6.369,5.423
rps18_cd,0.084,0.0963,0.101,5.408,10.349,10.599
ndhI_cd,0.023,0.0208,0.0185,2.142,5.516,5.432
atpH_cd,0.006,0.00613,0.0054,1.344,2.529,2.965
psbZ_cd,0.008,0.00793,0.0113,0.815,1.737,1.596
ndhJ_cd,0.001,0.000855,0.000893,2.365,5.231,4.741
rpoC1_cd,0.119,0.11,0.122,7.39,24.142,25.533
psbH_cd,0.131,0.137,0.137,1.344,3.121,3.11
petN_cd,0.002,0.000473,0.000424,0.499,1.088,1.034
rps4_cd,0.022,0.0209,0.0256,3.653,7.188,7.063
rpl36_cd,4e-05,1.57e-06,1.7e-07,0.509,1.235,1.692
rbcL_cd,0.011,0.0114,0.0158,5.34,10.984,10.977
psbE_cd,0.001,0.00103,0.00104,1.416,2.326,2.859
psbC_cd,0.015,0.0123,0.0177,4.92,9.879,12.729
psbJ_cd,5e-06,4.11e-08,1.75e-05,0.804,2.155,2.487
rpl2_cd,0.187,0.192,0.18,4.018,10.93,10.488
matK_cd,0.014,0.0119,0.0132,4.871,18.462,16.058
clpP_cd,0.003,0.0016,0.00239,4.77,8.456,9.478
rpl22_cd,0.003,0.00515,0.00469,2.036,5.789,6.414
rps19_cd,0.02,0.0214,0.0214,1.958,7.655,8.537
rps7_cd,0.013,0.0136,0.0142,1.919,6.808,7.377
psaC_cd,0.002,0.00242,0.00262,1.068,3.316,2.848
psbL_cd,8e-05,0.000129,0.000257,0.603,2.267,2.426
ndhF_cd,0.03,0.0321,0.0272,7.602,18.344,19.658
psaA_cd,0.231,0.228,0.222,5.735,20.97,19.902
rps11_cd,0.025,0.0204,0.0234,2.085,6.02,6.097
rpoA_cd,0.012,0.0135,0.0107,5.12,18.222,15.528
ndhC_cd,0.017,0.0187,0.0202,2.157,4.767,5.49
psbI_cd,0.0004,0.000241,0.000293,0.782,2.29,2.454
rps2_cd,0,0.0548,0.0687,0.009,11.252,8.131
ycf1_cd,0.228,0.207,0.21,51.205,159.494,130.543
psbM_cd,0.0004,0.000676,0.000256,0.923,2.311,2.213
petD_cd,0.028,0.0289,0.031,3.076,6.013,5.726
rpl16_cd,0.038,0.0377,0.0428,1.504,3.281,3.835
atpA_cd,0.076,0.0862,0.0828,5.312,16.2,13.588
rps3_cd,0.189,0.178,0.19,2.732,9.663,8.181
rpl20_cd,0.019,0.0147,0.0187,1.489,5.288,8.101
rpl23_cd,0.02,0.0195,0.018,1.428,8.506,6.549
rpoC2_cd,0,0.268,0.267,0.005,73.141,56.468
ycf4_cd,0.031,0.0288,0.0316,3.168,9.867,7.029
ycf3_cd,0,0.16,0.179,0.008,7.664,7.317
rpl14_cd,0.021,0.0203,0.0232,1.641,3.792,3.426
petG_cd,1e-47,3.24e-08,8.68e-06,0.723,1.897,1.521
cemA_cd,0.162,0.175,0.175,3.059,8.539,8.074
psbB_cd,0.229,0.232,0.21,5.817,13.649,15.885
rps8_cd,0.008,0.00625,0.0135,1.481,4.017,8.602
psaJ_cd,0.0003,0.00118,0.00288,0.917,6.777,4.449
rps12_cd,0.007,0.0088,0.0131,2.193,5.875,3.467
atpE_cd,0.056,0.0594,0.0581,1.83,3.693,6.0
psbT_cd,0.0003,0.000343,0.000192,0.598,2.766,3.33
psbA_cd,0.033,0.0386,0.0315,4.714,10.574,10.554
petB_cd,0.08,0.0755,0.0789,2.413,6.014,10.141
psaI_cd,0.003,0.0035,0.00257,0.812,2.973,2.974
psaB_cd,0.139,0.132,0.137,8.237,21.585,22.012
psbD_cd,4e-33,2.2e-08,9.86e-47,4.389,12.721,12.409
ndhK_cd,0.305,0.281,0.258,3.171,9.759,12.12
atpI_cd,0.086,0.0822,0.0781,2.918,10.772,13.208
ccsA_cd,0.122,0.113,0.118,4.077,15.103,12.825
psbN_cd,0.005,0.00592,0.00771,0.778,1.82,1.985
petA_cd,0.032,0.0272,0.0297,4.281,9.985,7.156
psbF_cd,4e-124,2.22e-58,1.78e-07,0.552,0.564,0.577
rpl33_cd,0.001,0.00282,0.00175,0.846,2.142,2.719
rpl32_cd,0.0005,0.000102,8.69e-06,1.873,4.071,3.941
atpB_cd,0.052,0.0543,0.0521,5.745,18.452,20.305
rpoB_cd,0.056,0.0598,0.0611,12.228,42.168,38.689
rps14_cd,0.085,0.0785,0.0869,1.589,4.241,4.046
ndhD_cd,0,0.0611,0.0526,0.01,18.879,17.396
accD_cd,0.002,0.00321,0.00491,22.903,34.167,31.794
petL_cd,0.001,0.00207,0.00305,0.728,3.22,3.442
ndhH_cd,0,0.113,0.0991,0.009,12.071,13.212
atpF_cd,0.046,0.0436,0.0369,2.439,8.006,7.313
rps15_cd,0.146,0.129,0.142,1.944,3.63,3.581
ycf2_cd,0,0.0723,0.0736,0.008,343.074,262.767
