gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC1_cd,0.125s,0.111s,0.114s,8.878,13.702,12.278
rpl36_cd,2e-06*s,0.000776*s,0.00016*s,0.606,0.604,0.669
rpl16_cd,0.037*s,0.0314*s,0.0353*s,1.697,2.529,2.376
rpoC2_cd,0*s,0.263s,0.264s,0.058,40.344,28.832
psbC_cd,0.014*s,0.0135*s,0.013*s,4.684,6.661,7.631
ndhB_cd,0*s,0.0873s,0.0957s,0.039,8.891,7.405
ndhK_cd,0.281s,0.29s,0.295s,2.498,4.063,3.998
psbH_cd,0.09s,0.105s,0.0895s,0.947,1.543,1.631
psbN_cd,0.004*s,0.0021*s,0.00304*s,0.553,0.868,0.963
atpB_cd,0.048*s,0.0475*s,0.0508s,4.542,10.019,9.044
ycf4_cd,0.028*s,0.0262*s,0.0285*s,2.165,3.972,4.463
rps4_cd,0.017*s,0.0194*s,0.0199*s,2.557,4.169,4.048
ycf2_cd,0*s,0.0758s,0.0741s,0.081,228.514,148.409
ndhG_cd,0.04*s,0.0413*s,0.0473*s,2.095,3.406,3.88
rps2_cd,0*s,0.0633s,0.0574s,0.037,6.463,5.391
petG_cd,4e-09*s,5.08e-10*s,2.81e-09*s,0.628,0.898,1.117
ndhF_cd,0.031*s,0.0298*s,0.0366*s,10.821,14.848,12.087
psbL_cd,0.001*s,0.000655*s,0.00094*s,1.421,0.517,0.589
psbI_cd,0.001*s,0.00016*s,0.000172*s,0.53,0.91,0.977
atpF_cd,0.05*s,0.0464*s,0.0444*s,2.232,3.398,4.586
atpH_cd,0.018*s,0.0171*s,0.0167*s,1.016,2.078,2.116
petD_cd,0.025*s,0.0198*s,0.0214*s,2.014,3.21,3.105
petN_cd,0.0002*s,0.000446*s,0.000208*s,0.556,0.463,0.48
psbZ_cd,0.001*s,0.00138*s,0.00149*s,0.919,0.81,0.99
