gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA_ex,0.072,0.0664,0.067,3.819,11.488,20.348
rps2_ex,0.034,0.0342,0.0381,4.683,16.332,13.78
rps4_ex,0.033,0.0324,0.0329,3.504,11.227,11.87
rps14_ex,0.042,0.0442,0.0555,1.873,9.737,5.835
ndhB_ex,0.076,0.0663,0.0778,8.902,18.779,21.186
psaJ_ex,0.02,0.0224,0.0182,0.839,1.84,1.65
petG_ex,9e-07,8.55e-05,2.04e-06,0.579,1.578,2.381
petN_ex,0.0002,8.47e-08,1.02e-05,0.476,1.122,1.104
clpP_ex,0.003,0.000756,0.00163,4.057,10.401,10.409
rps12_ex,0.016,0.0183,0.0163,1.687,3.422,3.582
psbL_ex,0.0001,0.000351,0.000222,0.762,2.403,2.374
ndhC_ex,0.015,0.0125,0.0119,1.464,3.011,3.24
psbJ_ex,3e-08,6.05e-05,7.19e-06,0.499,1.302,2.385
psbC_ex,0.015,0.014,0.0166,6.818,15.489,16.701
psaA_ex,0.25,0.255,0.245,6.929,21.522,17.636
psbT_ex,0.0004,0.000599,0.00013,0.698,3.839,3.649
atpH_ex,0.008,0.0101,0.00479,1.499,3.883,5.725
rpl36_ex,7e-08,3.41e-12,0.000212,0.534,1.47,2.95
psbE_ex,0.011,0.0148,0.0162,1.533,4.151,3.632
psbZ_ex,0.008,0.00961,0.00729,1.144,3.189,3.879
ycf1_auto_ex,0.102,0.114,0.13,50.93,168.093,142.992
psbD_ex,5e-32,0.000292,2.95e-09,4.183,9.203,8.554
ccsA_ex,0.088,0.086,0.0849,3.058,8.143,8.275
psaC_ex,0.002,0.000867,0.00285,0.81,2.2,2.159
atpA_ex,0.075,0.0805,0.0863,4.043,16.009,20.968
ndhF_ex,0.015,0.017,0.0141,11.291,28.585,30.135
psbB_ex,0.27,0.257,0.252,5.984,16.51,17.201
accD_ex,0.206,0.207,0.2,16.19,37.853,30.65
rps18_ex,0.012,0.00984,0.00932,3.872,14.097,12.596
rpl2_ex,0.11,0.128,0.128,3.378,10.363,11.485
psbN_ex,0.005,0.00565,0.00849,0.642,2.112,2.321
ndhG_ex,0.031,0.0339,0.0365,2.9,6.578,7.17
atpI_ex,0.099,0.0969,0.0933,4.153,12.555,8.459
psbK_ex,0.208,0.203,0.206,0.963,2.956,3.23
rpl20_ex,0.032,0.0273,0.0293,2.836,6.009,4.437
ndhJ_ex,0.001,0.00117,0.00108,1.764,4.252,3.384
petD_ex,0.024,0.0318,0.0241,1.96,4.978,5.056
rpl23_ex,0.015,0.0185,0.014,1.428,5.846,4.511
psbI_ex,0.0003,0.000138,0.00145,0.435,1.534,2.107
ycf2_auto_ex,0.022,0.0212,0.0253,31.197,249.252,235.421
rps7_ex,0.018,0.0265,0.0238,2.223,6.598,7.052
rbcL_ex,0.232,0.224,0.216,6.856,15.872,10.905
rps19_ex,0.02,0.025,0.027,1.996,8.271,7.493
petL_ex,0.002,0.00257,0.00188,0.532,3.454,2.443
ndhK_ex,0.368,0.34,0.354,3.293,9.915,9.34
psbM_ex,0.0001,7.2e-05,0.00105,0.67,2.468,2.456
ycf3_ex,0.2,0.217,0.205,2.988,7.064,7.593
rps16_ex,0.064,0.0704,0.0733,2.057,6.157,6.444
rps11_ex,0.043,0.0403,0.0338,2.92,6.8,7.553
rps15_ex,0.063,0.0562,0.0582,1.885,5.001,4.419
petA_ex,0.045,0.043,0.0391,3.837,10.944,12.043
rpoB_ex,0.159,0.165,0.168,11.998,48.791,49.198
ndhI_ex,0.108,0.119,0.114,3.149,11.813,8.204
rpl22_ex,0.012,0.0117,0.0119,4.09,6.963,6.219
psaI_ex,1e-05,0.000101,0.000691,0.626,2.249,2.491
rpoA_ex,0.025,0.0271,0.0259,4.822,18.407,20.091
psbF_ex,3e-07,4.13e-09,2.54e-05,0.982,1.212,1.178
rps8_ex,0.025,0.0169,0.0132,2.508,5.105,4.829
atpB_ex,0.06,0.0584,0.0604,6.913,19.855,19.417
ycf4_ex,0.025,0.0242,0.0266,1.769,5.568,6.642
petB_ex,0.056,0.0454,0.052,3.582,5.329,7.071
rpl32_ex,0,0.00518,0.00406,0.006,4.978,4.409
atpE_ex,0.091,0.0966,0.0899,2.245,4.711,4.731
atpF_ex,0.032,0.0283,0.0261,2.159,7.688,6.921
rpl14_ex,0.023,0.0224,0.0246,1.24,4.188,5.311
matK_ex,0.006,0.00795,0.00775,6.367,18.55,17.439
ndhD_ex,0.059,0.0562,0.0588,5.924,15.768,19.128
ndhA_ex,0.027,0.0338,0.0264,3.943,9.245,11.128
rpoC2_ex,0.222,0.231,0.236,19.408,54.203,51.328
rpl33_ex,0.0005,0.00146,0.00239,1.428,3.077,3.434
psbH_ex,0.061,0.0491,0.0566,1.325,2.602,2.682
cemA_ex,0,0.17,0.174,0.005,7.919,6.817
ndhE_ex,0.018,0.0132,0.0145,0.911,2.274,3.133
rpl16_ex,0.029,0.0346,0.0285,2.397,4.513,4.077
psaB_ex,0.218,0.221,0.207,10.588,18.095,19.471
ndhH_ex,0.105,0.107,0.11,3.803,9.599,11.057
rpoC1_ex,0.177,0.177,0.169,8.215,21.263,25.696
rps3_ex,0.284,0.284,0.297,2.96,7.139,9.166
