gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ycf2_ge,0.014*s,0.0127*s,0.0115*s,28.013,164.05,232.596
rps12_ge,0.037*s,0.0439*s,0.0421*s,3.011,5.152,4.602
psbC_ge,0.016*s,0.0132*s,0.0141*s,4.149,6.398,7.86
rps19_ge,0.015*s,0.014*s,0.0135*s,2.417,4.81,3.912
psbT_ge,0.0004*s,0.000641*s,0.00103*s,0.74,1.403,1.415
psaI_ge,0.001*s,0.000275*s,0.000147*s,0.629,1.073,1.201
rps11_ge,0.047*s,0.048*s,0.0528s,1.994,2.719,3.215
atpA_ge,0.084s,0.0819s,0.09s,4.684,9.568,8.082
rpl36_ge,6e-07*s,2.59e-05*s,0.000769*s,0.588,0.857,0.899
psbJ_ge,0.001*s,1.81e-05*s,9.74e-07*s,0.658,0.929,0.981
ycf3_ge,0.025*s,0.0278*s,0.0221*s,11.263,18.993,18.04
psbN_ge,0.007*s,0.00735*s,0.00561*s,0.65,0.878,1.056
cemA_ge,0*s,0.14s,0.133s,0.021,4.649,5.272
petG_ge,3e-08*s,5.78e-06*s,2.65e-05*s,0.576,0.894,0.97
psaB_ge,0.168s,0.162s,0.164s,6.91,11.022,12.889
rps8_ge,0.008*s,0.00724*s,0.00927*s,1.837,2.29,2.258
rps14_ge,0.031*s,0.0364*s,0.0283*s,1.282,1.77,2.225
psbE_ge,0.009*s,0.0115*s,0.0112*s,1.091,1.441,1.42
rpl16_ge,0.103s,0.11s,0.0984s,11.371,23.855,20.571
ndhK_ge,0.269s,0.267s,0.266s,3.035,5.61,6.109
ndhI_ge,0.03*s,0.0264*s,0.0237*s,2.4,4.216,4.012
psaA_ge,0.162s,0.158s,0.153s,6.263,10.292,12.174
atpB_ge,0.039*s,0.0442*s,0.0424*s,4.838,9.776,12.031
rbcL_ge,0.204s,0.197s,0.189s,4.331,6.176,6.861
rpoC1_ge,0.039*s,0.0397*s,0.0365*s,12.999,21.863,27.822
accD_ge,0.141s,0.138s,0.141s,12.428,17.678,12.906
rpoB_ge,0.067s,0.0676s,0.0583s,10.869,24.957,18.069
psbM_ge,0.0004*s,0.000144*s,0.000468*s,0.617,1.018,1.106
petA_ge,0.037*s,0.0289*s,0.0265*s,3.445,5.244,6.349
psbI_ge,0.001*s,9.75e-05*s,0.000138*s,0.586,0.932,1.076
petN_ge,8e-08*s,4.28e-07*s,0.000153*s,0.543,0.442,0.509
psbH_ge,0.086s,0.0809s,0.0797s,1.009,1.484,1.454
psaJ_ge,0.034*s,0.0294*s,0.0367*s,0.801,0.559,0.671
ndhC_ge,0.015*s,0.0185*s,0.0215*s,1.445,2.046,2.568
rpl20_ge,0.046*s,0.0412*s,0.0466*s,1.973,2.526,2.537
matK_ge,0.022*s,0.0217*s,0.0192*s,5.892,9.585,9.382
atpF_ge,0.006*s,0.00523*s,0.00436*s,7.832,12.496,12.277
rpl2_ge,0.072s,0.0662s,0.0811s,5.189,10.899,13.476
atpI_ge,0.065s,0.0582s,0.0515s,2.341,4.592,4.724
