gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0
ndhD_ex,0.06s,0.0574s,0.0559s,0.057s,0.0498*s,0.0559s
clpP_ex,0.001*s,0.000558*s,0.000528*s,0.002*s,0.000653*s,0.00154*s
rps19_ex,0.016*s,0.0169*s,0.0169*s,0.027*s,0.0259*s,0.0246*s
rbcL_ex,0.005*s,0.00363*s,0.00247*s,0.226s,0.216s,0.209s
rpl2_ex,0.146s,0.153s,0.148s,0.121s,0.126s,0.127s
rps4_ex,0.023*s,0.0305*s,0.0227*s,0.031*s,0.0311*s,0.0352*s
accD_ex,0.096s,0.0954s,0.104s,0.189s,0.198s,0.191s
atpH_ex,0.013*s,0.0178*s,0.0178*s,0.008*s,0.00612*s,0.00607*s
ndhA_ex,0.027*s,0.0279*s,0.0302*s,0.028*s,0.0279*s,0.0298*s
rps14_ex,0.057s,0.0544s,0.0628s,0.045*s,0.0439*s,0.0511s
psbE_ex,0.0004*s,0.000906*s,0.00119*s,0.014*s,0.014*s,0.0139*s
rpoC1_ex,0.17s,0.173s,0.183s,0.162s,0.158s,0.164s
psbN_ex,0.005*s,0.00533*s,0.00519*s,0.006*s,0.00705*s,0.00834*s
petN_ex,0.001*s,0.00085*s,0.00269*s,9e-07*s,3.83e-05*s,1.82e-05*s
psbK_ex,0.188s,0.193s,0.188s,0.209s,0.21s,0.231s
psaJ_ex,7e-08*s,0.00153*s,0.0018*s,0.022*s,0.0232*s,0.0215*s
psbT_ex,0.0001*s,0.000483*s,0.00024*s,4e-05*s,7.69e-05*s,0.000237*s
rpl14_ex,0.022*s,0.0199*s,0.0181*s,0.023*s,0.0265*s,0.023*s
ndhF_ex,0.019*s,0.0207*s,0.0193*s,0.017*s,0.0151*s,0.0141*s
rps18_ex,0.067s,0.0834s,0.0867s,0.012*s,0.0112*s,0.0101*s
atpE_ex,0.09s,0.0887s,0.0818s,0.091s,0.0994s,0.0807s
petA_ex,0.039*s,0.0341*s,0.0347*s,0.039*s,0.0419*s,0.0407*s
rpl36_ex,0.0002*s,0.000456*s,0.001*s,1e-12*s,6.56e-05*s,0.000152*s
rps11_ex,0.027*s,0.0325*s,0.0302*s,0.041*s,0.048*s,0.0389*s
psbZ_ex,0.001*s,0.000928*s,0.000982*s,0.007*s,0.00514*s,0.00726*s
rps15_ex,0.075s,0.0821s,0.0819s,0.05*s,0.0575s,0.0569s
rpl20_ex,0.013*s,0.0105*s,0.00841*s,0.026*s,0.0353*s,0.0322*s
rps8_ex,0.017*s,0.0177*s,0.0163*s,0.018*s,0.018*s,0.0225*s
rpl32_ex,0*s,0.00266*s,0.00281*s,0*s,0.00619*s,0.00546*s
petG_ex,2e-05*s,2.2e-08*s,7.26e-09*s,3e-06*s,0.000117*s,0.000197*s
rps3_ex,0.239s,0.235s,0.229s,0.291s,0.283s,0.322s
petL_ex,0.0004*s,0.00163*s,0.00144*s,0.002*s,0.00147*s,0.00265*s
psaI_ex,0.001*s,0.000443*s,0.000615*s,0.0003*s,0.000379*s,9.25e-05*s
psbJ_ex,1e-06*s,3.8e-05*s,3.75e-06*s,5e-05*s,5.93e-07*s,4.03e-08*s
psaC_ex,0.003*s,0.00138*s,0.00144*s,0.003*s,0.00164*s,0.00214*s
rps7_ex,0.02*s,0.0212*s,0.0189*s,0.019*s,0.0253*s,0.0234*s
ndhC_ex,0.016*s,0.0145*s,0.0133*s,0.012*s,0.0119*s,0.0127*s
