gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA_ex,0.113,0.125,0.108,3.65,8.515,8.227
rps2_ex,0.064,0.0707,0.0667,3.869,8.623,9.005
rps4_ex,0.025,0.0271,0.027,2.742,6.88,7.088
rps14_ex,0.055,0.0556,0.0556,1.056,2.494,2.778
ndhB_ex,0.091,0.0936,0.0877,7.742,12.97,11.863
psaJ_ex,3e-07,0.0018,0.00233,0.907,5.335,5.467
petG_ex,1e-06,0.000687,2.59e-05,0.569,2.006,1.89
petN_ex,0.0004,0.0012,0.00118,0.457,0.893,0.821
clpP_ex,0.001,0.00142,0.000905,2.842,7.784,7.605
rps12_ex,0.012,0.0117,0.0138,1.407,3.189,2.943
psbL_ex,0.005,0.00292,0.00291,0.451,0.784,0.883
ndhC_ex,0.011,0.017,0.0134,1.341,3.274,3.336
psbJ_ex,3e-07,0.000205,1.3e-07,0.616,1.652,1.59
psbC_ex,0.016,0.0202,0.0134,3.462,8.325,8.348
psaA_ex,0.246,0.243,0.247,5.389,14.07,20.817
psbT_ex,7e-05,0.000304,0.000274,0.56,2.926,2.754
atpH_ex,0.017,0.0149,0.0123,1.058,3.361,3.634
rpl36_ex,0.0002,0.00132,0.000661,0.732,1.892,2.01
psbE_ex,0.001,0.00166,0.00131,1.182,3.169,2.982
psbZ_ex,0.001,0.00103,0.000565,1.191,1.896,1.969
ycf1_auto_ex,0.112,0.113,0.111,49.82,185.844,147.861
psbD_ex,8e-85,3.71e-54,6.44e-05,2.6,9.936,10.017
ccsA_ex,0.085,0.0842,0.0996,3.952,7.808,7.43
psaC_ex,0.005,0.00236,0.00313,1.063,3.588,3.236
atpA_ex,0.077,0.084,0.0826,5.782,16.526,15.666
ndhF_ex,0.015,0.0157,0.017,8.382,22.414,22.857
psbB_ex,0.215,0.222,0.231,5.155,12.275,11.256
accD_ex,0.098,0.086,0.0866,13.876,24.28,21.551
rps18_ex,0.07,0.0813,0.09,2.186,9.825,9.243
rpl2_ex,0.137,0.136,0.159,2.183,6.777,9.284
psbN_ex,0.007,0.00582,0.00801,0.846,2.052,1.868
ndhG_ex,0.038,0.033,0.0418,2.151,6.455,7.284
atpI_ex,0.094,0.0998,0.0902,4.298,9.713,9.063
psbK_ex,0.188,0.19,0.187,1.236,2.9,2.963
rpl20_ex,0.011,0.0144,0.0113,3.082,5.606,6.406
ndhJ_ex,0.001,0.00209,0.000768,1.892,5.595,5.529
petD_ex,0.025,0.0208,0.0278,2.173,5.788,5.499
rpl23_ex,0.017,0.0218,0.0196,2.111,6.57,7.359
psbI_ex,0.001,9.95e-05,0.000251,0.781,2.082,2.119
ycf2_auto_ex,0.023,0.0217,0.0264,53.905,291.078,223.038
rps7_ex,0.018,0.0203,0.0203,1.475,5.148,5.475
rbcL_ex,0.004,0.00424,0.00317,7.759,11.232,10.568
rps19_ex,0.016,0.0131,0.0148,1.844,6.891,7.806
petL_ex,0.001,0.00169,0.000768,0.55,2.535,2.59
ndhK_ex,0.322,0.334,0.316,2.963,7.495,6.502
psbM_ex,6e-06,3.9e-05,1.55e-08,0.631,1.857,2.184
ycf3_ex,0.165,0.16,0.164,1.838,5.003,6.244
rps16_ex,0.072,0.0684,0.068,1.724,4.562,3.953
rps11_ex,0.028,0.0331,0.0296,1.73,5.629,6.148
rps15_ex,0.083,0.0764,0.083,1.191,2.822,3.216
petA_ex,0.036,0.0382,0.0368,5.117,8.372,9.007
rpoB_ex,0.173,0.175,0.166,10.539,40.313,29.952
ndhI_ex,0.071,0.0676,0.0639,2.162,4.787,4.764
rpl22_ex,0.017,0.0168,0.0152,2.711,5.767,5.423
psaI_ex,0.003,0.00199,0.00102,0.612,2.012,1.973
rpoA_ex,0.027,0.0262,0.0268,3.162,15.53,16.389
psbF_ex,7e-07,2.96e-05,8.96e-06,0.696,1.21,1.071
rps8_ex,0.017,0.016,0.0168,1.957,3.317,4.116
atpB_ex,0.062,0.0659,0.0607,5.412,17.066,14.417
ycf4_ex,0.01,0.0126,0.0102,2.092,6.396,5.638
petB_ex,0.06,0.0477,0.0628,3.664,5.458,4.798
rpl32_ex,0,0.00367,0.0043,0.005,3.132,3.331
atpE_ex,0.092,0.0839,0.0971,1.217,4.335,4.748
atpF_ex,0.031,0.0332,0.0239,2.751,6.697,6.332
rpl14_ex,0.022,0.0229,0.0253,1.606,4.801,5.354
matK_ex,0.007,0.00785,0.00784,8.61,17.662,19.334
ndhD_ex,0.058,0.0553,0.0542,6.091,15.678,16.822
ndhA_ex,0.024,0.0362,0.0257,4.152,11.269,10.805
rpoC2_ex,0.235,0.233,0.234,19.546,48.52,51.784
rpl33_ex,0.003,0.00123,0.00159,1.466,3.298,3.29
psbH_ex,0.038,0.0518,0.0421,1.022,2.407,1.968
cemA_ex,0,0.167,0.175,0.005,8.261,7.558
ndhE_ex,0.01,0.00757,0.00691,1.605,2.614,2.459
rpl16_ex,0.034,0.0294,0.0251,1.466,4.297,3.741
psaB_ex,0.116,0.131,0.111,7.32,18.526,16.686
ndhH_ex,0.119,0.101,0.114,3.704,8.824,8.412
rpoC1_ex,0.176,0.177,0.166,7.736,22.566,23.484
rps3_ex,0.243,0.243,0.249,3.785,8.011,7.556
