gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhD_ex,0.06s,0.0574s,0.0559s,5.354,9.192,9.001
clpP_ex,0.001*s,0.000558*s,0.000528*s,2.891,4.65,4.834
rps19_ex,0.016*s,0.0169*s,0.0169*s,1.875,3.86,4.564
rbcL_ex,0.005*s,0.00363*s,0.00247*s,4.895,5.984,7.021
rpl2_ex,0.146s,0.153s,0.148s,2.823,5.083,5.413
rps4_ex,0.023*s,0.0305*s,0.0227*s,2.426,4.21,4.596
accD_ex,0.096s,0.0954s,0.104s,13.395,19.078,13.883
atpH_ex,0.013*s,0.0178*s,0.0178*s,0.937,1.607,1.615
ndhA_ex,0.027*s,0.0279*s,0.0302*s,3.891,6.637,7.031
rps14_ex,0.057s,0.0544s,0.0628s,1.217,1.872,2.133
psbE_ex,0.0004*s,0.000906*s,0.00119*s,1.07,1.411,1.483
rpoC1_ex,0.17s,0.173s,0.183s,7.084,13.075,16.712
psbN_ex,0.005*s,0.00533*s,0.00519*s,0.661,0.951,1.044
petN_ex,0.001*s,0.00085*s,0.00269*s,0.528,0.411,0.484
psbK_ex,0.188s,0.193s,0.188s,0.826,1.32,1.479
psaJ_ex,7e-08*s,0.00153*s,0.0018*s,0.885,2.702,2.844
psbT_ex,0.0001*s,0.000483*s,0.00024*s,0.746,1.39,1.542
rpl14_ex,0.022*s,0.0199*s,0.0181*s,1.558,2.223,2.253
ndhF_ex,0.019*s,0.0207*s,0.0193*s,8.254,13.295,12.961
rps18_ex,0.067s,0.0834s,0.0867s,3.138,7.341,6.472
atpE_ex,0.09s,0.0887s,0.0818s,1.667,2.631,2.302
petA_ex,0.039*s,0.0341*s,0.0347*s,3.055,5.654,5.608
rpl36_ex,0.0002*s,0.000456*s,0.001*s,0.581,0.907,0.955
rps11_ex,0.027*s,0.0325*s,0.0302*s,1.798,2.934,2.855
psbZ_ex,0.001*s,0.000928*s,0.000982*s,0.959,0.902,0.928
rps15_ex,0.075s,0.0821s,0.0819s,1.247,1.584,1.445
rpl20_ex,0.013*s,0.0105*s,0.00841*s,1.932,2.55,2.795
rps8_ex,0.017*s,0.0177*s,0.0163*s,1.621,2.428,2.966
rpl32_ex,0*s,0.00266*s,0.00281*s,0.035,2.486,2.435
petG_ex,2e-05*s,2.2e-08*s,7.26e-09*s,0.563,0.918,1.102
rps3_ex,0.239s,0.235s,0.229s,3.093,4.978,4.747
petL_ex,0.0004*s,0.00163*s,0.00144*s,0.517,1.232,1.426
psaI_ex,0.001*s,0.000443*s,0.000615*s,0.585,1.061,1.247
psbJ_ex,1e-06*s,3.8e-05*s,3.75e-06*s,0.625,1.196,1.426
psaC_ex,0.003*s,0.00138*s,0.00144*s,1.014,1.666,1.669
rps7_ex,0.02*s,0.0212*s,0.0189*s,2.198,2.883,3.512
ndhC_ex,0.016*s,0.0145*s,0.0133*s,1.356,2.102,2.018
psbI_ex,0.0003*s,0.000145*s,0.000103*s,0.569,0.97,0.974
psbF_ex,3e-13*s,1.19e-79*s,5.14e-06*s,0.66,0.542,0.579
rpoB_ex,0.161s,0.169s,0.177s,11.485,19.009,18.146
rps12_ex,0.009*s,0.0143*s,0.0139*s,1.259,1.797,2.117
psbC_ex,0.014*s,0.0149*s,0.0125*s,3.943,6.872,5.438
